description	name	low_cutoff	high_cutoff	samplingrate	status	type
sensor gradiometer	MEG 2512	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2513	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2511	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2522	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2523	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2521	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2533	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2532	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2531	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2543	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2542	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2541	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2612	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2613	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2611	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2623	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2622	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2621	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2633	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2632	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2631	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2642	0.1	172.18	600.61499	good	MEG
sensor gradiometer	MEG 2643	0.1	172.18	600.61499	good	MEG
magnetometer	MEG 2641	0.1	172.18	600.61499	good	MEG
analogue trigger	STI 001	0.1	172.18	600.61499	good	TRIG
analogue trigger	STI 002	0.1	172.18	600.61499	good	TRIG
analogue trigger	STI 003	0.1	172.18	600.61499	good	TRIG
analogue trigger	STI 004	0.1	172.18	600.61499	good	TRIG
analogue trigger	STI 005	0.1	172.18	600.61499	good	TRIG
analogue trigger	STI 006	0.1	172.18	600.61499	good	TRIG
analogue trigger	STI 014	0.1	172.18	600.61499	good	TRIG
analogue trigger	STI 015	0.1	172.18	600.61499	good	TRIG
analogue trigger	STI 016	0.1	172.18	600.61499	good	TRIG
electro-encephalography channel	EEG 001	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 002	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 003	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 004	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 005	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 006	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 007	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 008	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 009	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 010	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 011	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 012	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 013	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 014	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 015	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 016	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 017	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 018	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 019	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 020	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 021	0.1	172.18	600.61499	good	EEG
electro-encephalography channel	EEG 022	0.1	172.18	600.61499	good	EEG
