onset	duration	trial_type	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT
175.057	1.000	Invalid LC-Hit Cue: invalid cue where following object was a subsequent low confidence hit	OBJ	NV	1	 1.1602	LC-HIT	 2.9592	1	0.58898
179.057	0.500	Invalid LC-Hit Obj: object that was a subsequent low confidence hit and that followed an invalid cue	OBJ	NV	1	 1.1602	LC-HIT	 2.9592	1	0.58898
181.096	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.96831	LC-MISS	 1.1884	UT	UT
187.096	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.96831	LC-MISS	 1.1884	UT	UT
189.138	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.97696	UT	UT	UT	UT
191.138	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.97696	UT	UT	UT	UT
193.175	1.000	Invalid Other Greeble Cue: invalid cue where following stimulus was an untested or no response greeble	GRE	NV	1	0.68172	UT	UT	UT	UT
197.175	0.500	Invalid Other Greeble: stimulus that was an untested or no response greeble and that followed a invalid cue	GRE	NV	1	0.68172	UT	UT	UT	UT
199.215	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.84418	HC-MISS	 1.0161	UT	UT
201.215	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.84418	HC-MISS	 1.0161	UT	UT
203.253	1.000	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object	OBJ	V	1	0.73137	UT	UT	UT	UT
209.253	0.500	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue	OBJ	V	1	0.73137	UT	UT	UT	UT
211.294	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	 1.1136	HC-HIT	 2.2573	0	0.49536
217.294	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	 1.1136	HC-HIT	 2.2573	0	0.49536
219.336	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.87843	UT	UT	UT	UT
