name	electrode_name	type	units	sampling_frequency	reference	channel_id	contact_id	stream_id	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nev_hi_freq_order	nev_hi_freq_type	nev_lo_freq_order	nev_lo_freq_type	nsx_hi_freq_order	nsx_lo_freq_order	nsx_hi_freq_type	nsx_lo_freq_type	nsx	low_cutoff	high_cutoff	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_id	coordinates_x	coordinates_y	gain
chan33_s1	33	LFP	uV	1000	ref1	38	33.0	1	../../../sourcedata/i140703-001.ns2	2	1	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	83.0	0.8	3.2	5000
chan34_s1	34	LFP	uV	1000	ref1	39	34.0	1	../../../sourcedata/i140703-001.ns2	2	2	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	84.0	1.2	3.2	5000
chan35_s1	35	LFP	uV	1000	ref1	40	35.0	1	../../../sourcedata/i140703-001.ns2	2	3	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	73.0	0.8	2.8	5000
chan36_s1	36	LFP	uV	1000	ref1	41	36.0	1	../../../sourcedata/i140703-001.ns2	2	4	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	74.0	1.2	2.8	5000
chan37_s1	37	LFP	uV	1000	ref1	42	37.0	1	../../../sourcedata/i140703-001.ns2	2	5	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	63.0	0.8	2.4	5000
chan38_s1	38	LFP	uV	1000	ref1	43	38.0	1	../../../sourcedata/i140703-001.ns2	2	6	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	False	64.0	1.2	2.4	5000
chan39_s1	39	LFP	uV	1000	ref1	44	39.0	1	../../../sourcedata/i140703-001.ns2	2	7	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	53.0	0.8	2.0	5000
chan40_s1	40	LFP	uV	1000	ref1	45	40.0	1	../../../sourcedata/i140703-001.ns2	2	8	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	54.0	1.2	2.0	5000
chan41_s1	41	LFP	uV	1000	ref1	46	41.0	1	../../../sourcedata/i140703-001.ns2	2	9	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	43.0	0.8	1.6	5000
chan42_s1	42	LFP	uV	1000	ref1	47	42.0	1	../../../sourcedata/i140703-001.ns2	2	10	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	55.0	1.6	2.0	5000
chan43_s1	43	LFP	uV	1000	ref1	48	43.0	1	../../../sourcedata/i140703-001.ns2	2	11	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	44.0	1.2	1.6	5000
chan44_s1	44	LFP	uV	1000	ref1	49	44.0	1	../../../sourcedata/i140703-001.ns2	2	12	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	45.0	1.6	1.6	5000
