onset	duration	trial_type	stim_file	stim_file_index
80.62757	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
81.12991	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	182
81.63224	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
82.13425	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	144
82.63657	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
83.13858	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	119
83.64091	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
84.14292	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	55
84.64526	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
85.14759	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	41
85.64959	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
86.15192	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	135
86.65393	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
87.15627	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	51
87.6586	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
88.1606	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	170
88.66293	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
89.16494	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	13
89.66727	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
90.16928	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	133
90.67162	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
91.17394	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	210
91.67595	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
92.17828	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	113
92.68029	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
93.18262	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	166
93.68463	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
94.18696	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	149
94.68929	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
95.1913	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	175
95.69363	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
96.19564	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	63
96.69797	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
97.2003	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	158
97.70231	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
98.20464	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	116
98.70665	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
99.20898	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	106
99.71098	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
100.2133	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	17
100.7157	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
