name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
G46	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G47	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G48	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G49	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	bad	outlier
G50	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G51	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G52	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G53	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G54	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G55	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G56	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G57	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	bad	outlier
G58	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	bad	outlier
G59	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G60	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G61	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G62	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G63	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
G64	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
T01	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	bad	spikes
T02	ecog	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
T03	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
T04	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	bad	spikes
T05	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	bad	spikes
T06	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	bad	lowfreqtransient
P01	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
P02	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
P03	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
P04	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
F01	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	bad	spikes
F02	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	bad	spikes
F03	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	bad	spikes
F04	ecog	uV	500	0.15	512	n/a	unknown	unknown	n/a	bad	spikes
DAS01	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DAS02	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	bad	clipped
DAS03	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DAS04	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DAI01	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DAI02	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DAI03	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DAI04	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DPS01	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DPS02	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DPS03	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DPS04	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DPI01	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DPI02	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DPI03	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	good	n/a
DPI04	seeg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	bad	clipped
EKG1	ecg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	n/a	n/a
EKG2	ecg	unknown	500	0.15	512	n/a	unknown	unknown	n/a	n/a	n/a
DC1	trig	unknown	500	0.15	512	n/a	unknown	unknown	n/a	n/a	n/a
DC2	other	unknown	500	0.15	512	n/a	unknown	unknown	n/a	n/a	n/a
DC3	other	unknown	500	0.15	512	n/a	unknown	unknown	n/a	n/a	n/a
DC7	other	unknown	500	0.15	512	n/a	unknown	unknown	n/a	n/a	n/a
DC8	other	unknown	500	0.15	512	n/a	unknown	unknown	n/a	n/a	n/a
DC9	other	unknown	500	0.15	512	n/a	unknown	unknown	n/a	n/a	n/a
DC10	other	unknown	500	0.15	512	n/a	unknown	unknown	n/a	n/a	n/a
DC11	other	unknown	500	0.15	512	n/a	unknown	unknown	n/a	n/a	n/a
