name	component	type	tracked_point	units	sampling_frequency
rTh2_POS_y	y	POS	rTh2	m	199.861495844875
rTh2_POS_z	z	POS	rTh2	m	199.861495844875
rTh3_POS_x	x	POS	rTh3	m	199.861495844875
rTh3_POS_y	y	POS	rTh3	m	199.861495844875
rTh3_POS_z	z	POS	rTh3	m	199.861495844875
rTh4_POS_x	x	POS	rTh4	m	199.861495844875
rTh4_POS_y	y	POS	rTh4	m	199.861495844875
rTh4_POS_z	z	POS	rTh4	m	199.861495844875
lAsis_POS_x	x	POS	lAsis	m	199.861495844875
lAsis_POS_y	y	POS	lAsis	m	199.861495844875
lAsis_POS_z	z	POS	lAsis	m	199.861495844875
rAsis_POS_x	x	POS	rAsis	m	199.861495844875
rAsis_POS_y	y	POS	rAsis	m	199.861495844875
rAsis_POS_z	z	POS	rAsis	m	199.861495844875
lPsis_POS_x	x	POS	lPsis	m	199.861495844875
lPsis_POS_y	y	POS	lPsis	m	199.861495844875
lPsis_POS_z	z	POS	lPsis	m	199.861495844875
rPsis_POS_x	x	POS	rPsis	m	199.861495844875
rPsis_POS_y	y	POS	rPsis	m	199.861495844875
rPsis_POS_z	z	POS	rPsis	m	199.861495844875
mSter1_POS_x	x	POS	mSter1	m	199.861495844875
mSter1_POS_y	y	POS	mSter1	m	199.861495844875
mSter1_POS_z	z	POS	mSter1	m	199.861495844875
mSter2_POS_x	x	POS	mSter2	m	199.861495844875
mSter2_POS_y	y	POS	mSter2	m	199.861495844875
mSter2_POS_z	z	POS	mSter2	m	199.861495844875
mSter3_POS_x	x	POS	mSter3	m	199.861495844875
mSter3_POS_y	y	POS	mSter3	m	199.861495844875
mSter3_POS_z	z	POS	mSter3	m	199.861495844875
lSho_POS_x	x	POS	lSho	m	199.861495844875
lSho_POS_y	y	POS	lSho	m	199.861495844875
lSho_POS_z	z	POS	lSho	m	199.861495844875
lUa_POS_x	x	POS	lUa	m	199.861495844875
lUa_POS_y	y	POS	lUa	m	199.861495844875
lUa_POS_z	z	POS	lUa	m	199.861495844875
lElbl_POS_x	x	POS	lElbl	m	199.861495844875
lElbl_POS_y	y	POS	lElbl	m	199.861495844875
lElbl_POS_z	z	POS	lElbl	m	199.861495844875
lFrm_POS_x	x	POS	lFrm	m	199.861495844875
lFrm_POS_y	y	POS	lFrm	m	199.861495844875
lFrm_POS_z	z	POS	lFrm	m	199.861495844875
lWrr_POS_x	x	POS	lWrr	m	199.861495844875
lWrr_POS_y	y	POS	lWrr	m	199.861495844875
lWrr_POS_z	z	POS	lWrr	m	199.861495844875
lWru_POS_x	x	POS	lWru	m	199.861495844875
lWru_POS_y	y	POS	lWru	m	199.861495844875
lWru_POS_z	z	POS	lWru	m	199.861495844875
lHand_POS_x	x	POS	lHand	m	199.861495844875
lHand_POS_y	y	POS	lHand	m	199.861495844875
lHand_POS_z	z	POS	lHand	m	199.861495844875
rSho_POS_x	x	POS	rSho	m	199.861495844875
rSho_POS_y	y	POS	rSho	m	199.861495844875
rSho_POS_z	z	POS	rSho	m	199.861495844875
rUa_POS_x	x	POS	rUa	m	199.861495844875
rUa_POS_y	y	POS	rUa	m	199.861495844875
rUa_POS_z	z	POS	rUa	m	199.861495844875
rElbl_POS_x	x	POS	rElbl	m	199.861495844875
rElbl_POS_y	y	POS	rElbl	m	199.861495844875
rElbl_POS_z	z	POS	rElbl	m	199.861495844875
rFrm_POS_x	x	POS	rFrm	m	199.861495844875
rFrm_POS_y	y	POS	rFrm	m	199.861495844875
rFrm_POS_z	z	POS	rFrm	m	199.861495844875
rWrr_POS_x	x	POS	rWrr	m	199.861495844875
rWrr_POS_y	y	POS	rWrr	m	199.861495844875
rWrr_POS_z	z	POS	rWrr	m	199.861495844875
rWru_POS_x	x	POS	rWru	m	199.861495844875
rWru_POS_y	y	POS	rWru	m	199.861495844875
rWru_POS_z	z	POS	rWru	m	199.861495844875
rHand_POS_x	x	POS	rHand	m	199.861495844875
rHand_POS_y	y	POS	rHand	m	199.861495844875
rHand_POS_z	z	POS	rHand	m	199.861495844875
lfHd_POS_x	x	POS	lfHd	m	199.861495844875
lfHd_POS_y	y	POS	lfHd	m	199.861495844875
lfHd_POS_z	z	POS	lfHd	m	199.861495844875
rfHd_POS_x	x	POS	rfHd	m	199.861495844875
rfHd_POS_y	y	POS	rfHd	m	199.861495844875
rfHd_POS_z	z	POS	rfHd	m	199.861495844875
lbHd_POS_x	x	POS	lbHd	m	199.861495844875
lbHd_POS_y	y	POS	lbHd	m	199.861495844875
lbHd_POS_z	z	POS	lbHd	m	199.861495844875
rbHd_POS_x	x	POS	rbHd	m	199.861495844875
rbHd_POS_y	y	POS	rbHd	m	199.861495844875
rbHd_POS_z	z	POS	rbHd	m	199.861495844875
obst1_POS_x	x	POS	obst1	m	199.861495844875
obst1_POS_y	y	POS	obst1	m	199.861495844875
obst1_POS_z	z	POS	obst1	m	199.861495844875
obst2_POS_x	x	POS	obst2	m	199.861495844875
obst2_POS_y	y	POS	obst2	m	199.861495844875
obst2_POS_z	z	POS	obst2	m	199.861495844875
start1_POS_x	x	POS	start1	m	199.861495844875
start1_POS_y	y	POS	start1	m	199.861495844875
start1_POS_z	z	POS	start1	m	199.861495844875
start2_POS_x	x	POS	start2	m	199.861495844875
start2_POS_y	y	POS	start2	m	199.861495844875
start2_POS_z	z	POS	start2	m	199.861495844875
end1_POS_x	x	POS	end1	m	199.861495844875
end1_POS_y	y	POS	end1	m	199.861495844875
end1_POS_z	z	POS	end1	m	199.861495844875
end2_POS_x	x	POS	end2	m	199.861495844875
end2_POS_y	y	POS	end2	m	199.861495844875
end2_POS_z	z	POS	end2	m	199.861495844875
