name	type	units	sampling_frequency	tracked_point	component	orientation_component
rHeel_POS_y	POS	m	199.88358556461	rHeel	y	y
rHeel_POS_z	POS	m	199.88358556461	rHeel	z	z
rAnk_POS_x	POS	m	199.88358556461	rAnk	x	x
rAnk_POS_y	POS	m	199.88358556461	rAnk	y	y
rAnk_POS_z	POS	m	199.88358556461	rAnk	z	z
rSk1_POS_x	POS	m	199.88358556461	rSk1	x	x
rSk1_POS_y	POS	m	199.88358556461	rSk1	y	y
rSk1_POS_z	POS	m	199.88358556461	rSk1	z	z
rSk2_POS_x	POS	m	199.88358556461	rSk2	x	x
rSk2_POS_y	POS	m	199.88358556461	rSk2	y	y
rSk2_POS_z	POS	m	199.88358556461	rSk2	z	z
rSk3_POS_x	POS	m	199.88358556461	rSk3	x	x
rSk3_POS_y	POS	m	199.88358556461	rSk3	y	y
rSk3_POS_z	POS	m	199.88358556461	rSk3	z	z
rSk4_POS_x	POS	m	199.88358556461	rSk4	x	x
rSk4_POS_y	POS	m	199.88358556461	rSk4	y	y
rSk4_POS_z	POS	m	199.88358556461	rSk4	z	z
rTh1_POS_x	POS	m	199.88358556461	rTh1	x	x
rTh1_POS_y	POS	m	199.88358556461	rTh1	y	y
rTh1_POS_z	POS	m	199.88358556461	rTh1	z	z
rTh2_POS_x	POS	m	199.88358556461	rTh2	x	x
rTh2_POS_y	POS	m	199.88358556461	rTh2	y	y
rTh2_POS_z	POS	m	199.88358556461	rTh2	z	z
rTh3_POS_x	POS	m	199.88358556461	rTh3	x	x
rTh3_POS_y	POS	m	199.88358556461	rTh3	y	y
rTh3_POS_z	POS	m	199.88358556461	rTh3	z	z
rTh4_POS_x	POS	m	199.88358556461	rTh4	x	x
rTh4_POS_y	POS	m	199.88358556461	rTh4	y	y
rTh4_POS_z	POS	m	199.88358556461	rTh4	z	z
lAsis_POS_x	POS	m	199.88358556461	lAsis	x	x
lAsis_POS_y	POS	m	199.88358556461	lAsis	y	y
lAsis_POS_z	POS	m	199.88358556461	lAsis	z	z
rAsis_POS_x	POS	m	199.88358556461	rAsis	x	x
rAsis_POS_y	POS	m	199.88358556461	rAsis	y	y
rAsis_POS_z	POS	m	199.88358556461	rAsis	z	z
lPsis_POS_x	POS	m	199.88358556461	lPsis	x	x
lPsis_POS_y	POS	m	199.88358556461	lPsis	y	y
lPsis_POS_z	POS	m	199.88358556461	lPsis	z	z
rPsis_POS_x	POS	m	199.88358556461	rPsis	x	x
rPsis_POS_y	POS	m	199.88358556461	rPsis	y	y
rPsis_POS_z	POS	m	199.88358556461	rPsis	z	z
mSter1_POS_x	POS	m	199.88358556461	mSter1	x	x
mSter1_POS_y	POS	m	199.88358556461	mSter1	y	y
mSter1_POS_z	POS	m	199.88358556461	mSter1	z	z
mSter2_POS_x	POS	m	199.88358556461	mSter2	x	x
mSter2_POS_y	POS	m	199.88358556461	mSter2	y	y
mSter2_POS_z	POS	m	199.88358556461	mSter2	z	z
mSter3_POS_x	POS	m	199.88358556461	mSter3	x	x
mSter3_POS_y	POS	m	199.88358556461	mSter3	y	y
mSter3_POS_z	POS	m	199.88358556461	mSter3	z	z
lSho_POS_x	POS	m	199.88358556461	lSho	x	x
lSho_POS_y	POS	m	199.88358556461	lSho	y	y
lSho_POS_z	POS	m	199.88358556461	lSho	z	z
lUa_POS_x	POS	m	199.88358556461	lUa	x	x
lUa_POS_y	POS	m	199.88358556461	lUa	y	y
lUa_POS_z	POS	m	199.88358556461	lUa	z	z
lElbl_POS_x	POS	m	199.88358556461	lElbl	x	x
lElbl_POS_y	POS	m	199.88358556461	lElbl	y	y
lElbl_POS_z	POS	m	199.88358556461	lElbl	z	z
lFrm_POS_x	POS	m	199.88358556461	lFrm	x	x
lFrm_POS_y	POS	m	199.88358556461	lFrm	y	y
lFrm_POS_z	POS	m	199.88358556461	lFrm	z	z
lWrr_POS_x	POS	m	199.88358556461	lWrr	x	x
lWrr_POS_y	POS	m	199.88358556461	lWrr	y	y
lWrr_POS_z	POS	m	199.88358556461	lWrr	z	z
lWru_POS_x	POS	m	199.88358556461	lWru	x	x
lWru_POS_y	POS	m	199.88358556461	lWru	y	y
lWru_POS_z	POS	m	199.88358556461	lWru	z	z
lHand_POS_x	POS	m	199.88358556461	lHand	x	x
lHand_POS_y	POS	m	199.88358556461	lHand	y	y
lHand_POS_z	POS	m	199.88358556461	lHand	z	z
rSho_POS_x	POS	m	199.88358556461	rSho	x	x
rSho_POS_y	POS	m	199.88358556461	rSho	y	y
rSho_POS_z	POS	m	199.88358556461	rSho	z	z
rUa_POS_x	POS	m	199.88358556461	rUa	x	x
rUa_POS_y	POS	m	199.88358556461	rUa	y	y
rUa_POS_z	POS	m	199.88358556461	rUa	z	z
rElbl_POS_x	POS	m	199.88358556461	rElbl	x	x
rElbl_POS_y	POS	m	199.88358556461	rElbl	y	y
rElbl_POS_z	POS	m	199.88358556461	rElbl	z	z
rFrm_POS_x	POS	m	199.88358556461	rFrm	x	x
rFrm_POS_y	POS	m	199.88358556461	rFrm	y	y
rFrm_POS_z	POS	m	199.88358556461	rFrm	z	z
rWrr_POS_x	POS	m	199.88358556461	rWrr	x	x
rWrr_POS_y	POS	m	199.88358556461	rWrr	y	y
rWrr_POS_z	POS	m	199.88358556461	rWrr	z	z
rWru_POS_x	POS	m	199.88358556461	rWru	x	x
rWru_POS_y	POS	m	199.88358556461	rWru	y	y
rWru_POS_z	POS	m	199.88358556461	rWru	z	z
rHand_POS_x	POS	m	199.88358556461	rHand	x	x
rHand_POS_y	POS	m	199.88358556461	rHand	y	y
rHand_POS_z	POS	m	199.88358556461	rHand	z	z
lfHd_POS_x	POS	m	199.88358556461	lfHd	x	x
lfHd_POS_y	POS	m	199.88358556461	lfHd	y	y
lfHd_POS_z	POS	m	199.88358556461	lfHd	z	z
rfHd_POS_x	POS	m	199.88358556461	rfHd	x	x
rfHd_POS_y	POS	m	199.88358556461	rfHd	y	y
rfHd_POS_z	POS	m	199.88358556461	rfHd	z	z
lbHd_POS_x	POS	m	199.88358556461	lbHd	x	x
lbHd_POS_y	POS	m	199.88358556461	lbHd	y	y
lbHd_POS_z	POS	m	199.88358556461	lbHd	z	z
rbHd_POS_x	POS	m	199.88358556461	rbHd	x	x
rbHd_POS_y	POS	m	199.88358556461	rbHd	y	y
rbHd_POS_z	POS	m	199.88358556461	rbHd	z	z
start1_POS_x	POS	m	199.88358556461	start1	x	x
start1_POS_y	POS	m	199.88358556461	start1	y	y
start1_POS_z	POS	m	199.88358556461	start1	z	z
start2_POS_x	POS	m	199.88358556461	start2	x	x
start2_POS_y	POS	m	199.88358556461	start2	y	y
start2_POS_z	POS	m	199.88358556461	start2	z	z
end1_POS_x	POS	m	199.88358556461	end1	x	x
end1_POS_y	POS	m	199.88358556461	end1	y	y
end1_POS_z	POS	m	199.88358556461	end1	z	z
end2_POS_x	POS	m	199.88358556461	end2	x	x
end2_POS_y	POS	m	199.88358556461	end2	y	y
end2_POS_z	POS	m	199.88358556461	end2	z	z
