channel_id	contact_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_ids	coordinates_x	coordinates_y	channel_type
49	49	30000	uV	chan49	../../../sourcedata/l101210-001.ns5	2	17	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	24	1.2	0.8	EXT
50	50	30000	uV	chan50	../../../sourcedata/l101210-001.ns5	2	18	1000	0	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	56	2	2	EXT
51	51	30000	uV	chan51	../../../sourcedata/l101210-001.ns5	2	19	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	35	1.6	1.2	EXT
52	52	30000	uV	chan52	../../../sourcedata/l101210-001.ns5	2	20	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	47	2.4	1.6	EXT
53	53	30000	uV	chan53	../../../sourcedata/l101210-001.ns5	2	21	1000	0	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	25	1.6	0.8	EXT
54	54	30000	uV	chan54	../../../sourcedata/l101210-001.ns5	2	22	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	57	2.4	2	EXT
55	55	30000	uV	chan55	../../../sourcedata/l101210-001.ns5	2	23	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	26	2	0.8	EXT
56	56	30000	uV	chan56	../../../sourcedata/l101210-001.ns5	2	24	1000	3	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	36	2	1.2	EXT
57	57	30000	uV	chan57	../../../sourcedata/l101210-001.ns5	2	25	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	27	2.4	0.8	EXT
58	58	30000	uV	chan58	../../../sourcedata/l101210-001.ns5	2	26	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	37	2.4	1.2	EXT
59	59	30000	uV	chan59	../../../sourcedata/l101210-001.ns5	2	27	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	28	2.8	0.8	EXT
60	60	30000	uV	chan60	../../../sourcedata/l101210-001.ns5	2	28	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	38	2.8	1.2	EXT
61	61	30000	uV	chan61	../../../sourcedata/l101210-001.ns5	2	29	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	29	3.2	0.8	EXT
62	62	30000	uV	chan62	../../../sourcedata/l101210-001.ns5	2	30	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	48	2.8	1.6	EXT
63	63	30000	uV	chan63	../../../sourcedata/l101210-001.ns5	2	31	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	19	3.2	0.4	EXT
64	64	30000	uV	chan64	../../../sourcedata/l101210-001.ns5	2	32	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	39	3.2	1.2	EXT
65	65	30000	uV	chan65	../../../sourcedata/l101210-001.ns5	3	1	1000	0	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	81	0	3.2	EXT
66	66	30000	uV	chan66	../../../sourcedata/l101210-001.ns5	3	2	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	82	0.4	3.2	EXT
67	67	30000	uV	chan67	../../../sourcedata/l101210-001.ns5	3	3	1000	0	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	71	0	2.8	EXT
68	68	30000	uV	chan68	../../../sourcedata/l101210-001.ns5	3	4	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	72	0.4	2.8	EXT
69	69	30000	uV	chan69	../../../sourcedata/l101210-001.ns5	3	5	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	61	0	2.4	EXT
70	70	30000	uV	chan70	../../../sourcedata/l101210-001.ns5	3	6	1000	3	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	62	0.4	2.4	EXT
71	71	30000	uV	chan71	../../../sourcedata/l101210-001.ns5	3	7	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	51	0	2	EXT
72	72	30000	uV	chan72	../../../sourcedata/l101210-001.ns5	3	8	1000	0	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	52	0.4	2	EXT
73	73	30000	uV	chan73	../../../sourcedata/l101210-001.ns5	3	9	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	41	0	1.6	EXT
74	74	30000	uV	chan74	../../../sourcedata/l101210-001.ns5	3	10	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	42	0.4	1.6	EXT
75	75	30000	uV	chan75	../../../sourcedata/l101210-001.ns5	3	11	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	31	0	1.2	EXT
76	76	30000	uV	chan76	../../../sourcedata/l101210-001.ns5	3	12	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	32	0.4	1.2	EXT
77	77	30000	uV	chan77	../../../sourcedata/l101210-001.ns5	3	13	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	21	0	0.8	EXT
78	78	30000	uV	chan78	../../../sourcedata/l101210-001.ns5	3	14	1000	3	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	22	0.4	0.8	EXT
79	79	30000	uV	chan79	../../../sourcedata/l101210-001.ns5	3	15	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	11	0	0.4	EXT
80	80	30000	uV	chan80	../../../sourcedata/l101210-001.ns5	3	16	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	12	0.4	0.4	EXT
