name	x	y	z	type	material
D18	-0.032	0.056	0.077	active/cap	Ag/AgCl
D19	-0.029	0.062	0.059	active/cap	Ag/AgCl
D20	-0.027	0.064	0.041	active/cap	Ag/AgCl
D21	-0.026	0.064	0.022	active/cap	Ag/AgCl
D22	-0.045	0.051	-0.013	active/cap	Ag/AgCl
D23	-0.049	0.054	0.004	active/cap	Ag/AgCl
D24	-0.051	0.056	0.023	active/cap	Ag/AgCl
D25	-0.053	0.054	0.042	active/cap	Ag/AgCl
D26	-0.049	0.053	0.062	active/cap	Ag/AgCl
D27	-0.052	0.044	0.082	active/cap	Ag/AgCl
D28	-0.063	0.042	0.066	active/cap	Ag/AgCl
D29	-0.069	0.041	0.047	active/cap	Ag/AgCl
D30	-0.070	0.040	0.028	active/cap	Ag/AgCl
D31	-0.069	0.038	0.009	active/cap	Ag/AgCl
D32	-0.065	0.036	-0.008	active/cap	Ag/AgCl
