onset	duration	sample	event_type	face_type	rep_status	trial	rep_lag	value	stim_file
178.7734545455	n/a	44693	show_circle	n/a	n/a	49	n/a	0	circle.bmp
180.4734545455	n/a	45118	show_cross	n/a	n/a	50	n/a	1	cross.bmp
181.0761818182	n/a	45269	show_face	unfamiliar_face	first_show	50	n/a	13	u041.bmp
181.7389090909	n/a	45434	right_press	n/a	n/a	50	n/a	4096	n/a
182.0270909091	n/a	45506	show_circle	n/a	n/a	50	n/a	0	circle.bmp
183.7270909091	n/a	45931	show_cross	n/a	n/a	51	n/a	1	cross.bmp
184.1834545455	n/a	46045	show_face	unfamiliar_face	delayed_repeat	51	12	15	u002.bmp
185.1525454545	n/a	46288	show_circle	n/a	n/a	51	n/a	0	circle.bmp
186.8525454545	n/a	46713	show_cross	n/a	n/a	52	n/a	1	cross.bmp
187.458	n/a	46864	show_face	scrambled_face	first_show	52	n/a	17	s125.bmp
188.3852727273	n/a	47096	show_circle	n/a	n/a	52	n/a	0	circle.bmp
190.0852727273	n/a	47521	show_cross	n/a	n/a	53	n/a	1	cross.bmp
190.6652727273	n/a	47666	show_face	scrambled_face	immediate_repeat	53	1	18	s125.bmp
191.6407272727	n/a	47910	show_circle	n/a	n/a	53	n/a	0	circle.bmp
193.3407272727	n/a	48335	show_cross	n/a	n/a	54	n/a	1	cross.bmp
193.9225454545	n/a	48480	show_face	famous_face	first_show	54	n/a	5	f146.bmp
194.8325454545	n/a	48708	show_circle	n/a	n/a	54	n/a	0	circle.bmp
196.5325454545	n/a	49133	show_cross	n/a	n/a	55	n/a	1	cross.bmp
197.0125454545	n/a	49253	show_face	unfamiliar_face	delayed_repeat	55	12	15	u018.bmp
197.958	n/a	49489	show_circle	n/a	n/a	55	n/a	0	circle.bmp
199.658	n/a	49914	show_cross	n/a	n/a	56	n/a	1	cross.bmp
200.3034545455	n/a	50075	show_face	famous_face	first_show	56	n/a	5	f058.bmp
201.1316363636	n/a	50282	right_press	n/a	n/a	56	n/a	4096	n/a
201.1870909091	n/a	50296	show_circle	n/a	n/a	56	n/a	0	circle.bmp
202.8870909091	n/a	50721	show_cross	n/a	n/a	57	n/a	1	cross.bmp
203.4607272727	n/a	50865	show_face	famous_face	immediate_repeat	57	1	6	f058.bmp
204.1461818182	n/a	51036	right_press	n/a	n/a	57	n/a	4096	n/a
204.4789090909	n/a	51119	show_circle	n/a	n/a	57	n/a	0	circle.bmp
206.1789090909	n/a	51544	show_cross	n/a	n/a	58	n/a	1	cross.bmp
206.8189090909	n/a	51704	show_face	unfamiliar_face	first_show	58	n/a	13	u146.bmp
207.6316363636	n/a	51907	right_press	n/a	n/a	58	n/a	4096	n/a
207.7343636364	n/a	51933	show_circle	n/a	n/a	58	n/a	0	circle.bmp
