onset	duration	trial_type	cash_demean	control_pumps_demean	pumps_demean
373.741	0.772	control_pumps_demean	n/a	-0.5	n/a
376.099	0.586	control_pumps_fixed_real_RT	n/a	n/a	n/a
376.099	0.772	control_pumps_demean	n/a	0.5	n/a
377.849	0.772	control_pumps_demean	n/a	1.5	n/a
377.849	0.362	control_pumps_fixed_real_RT	n/a	n/a	n/a
379.797	0.772	control_pumps_demean	n/a	2.5	n/a
379.797	0.375	control_pumps_fixed_real_RT	n/a	n/a	n/a
381.974	0.389	control_pumps_fixed_real_RT	n/a	n/a	n/a
381.974	0.772	control_pumps_demean	n/a	3.5	n/a
397.251	0.84	control_pumps_fixed_real_RT	n/a	n/a	n/a
397.251	0.772	control_pumps_demean	n/a	-2.5	n/a
400.102	0.772	control_pumps_demean	n/a	-1.5	n/a
400.102	0.862	control_pumps_fixed_real_RT	n/a	n/a	n/a
403.117	0.772	control_pumps_demean	n/a	-0.5	n/a
403.117	0.599	control_pumps_fixed_real_RT	n/a	n/a	n/a
405.293	0.772	control_pumps_demean	n/a	0.5	n/a
405.293	0.535	control_pumps_fixed_real_RT	n/a	n/a	n/a
407.548	0.772	control_pumps_demean	n/a	1.5	n/a
407.548	0.448	control_pumps_fixed_real_RT	n/a	n/a	n/a
410.36	1.156	control_pumps_fixed_real_RT	n/a	n/a	n/a
410.36	0.772	control_pumps_demean	n/a	2.5	n/a
420.653	0.679	control_pumps_fixed_real_RT	n/a	n/a	n/a
420.653	0.772	control_pumps_demean	n/a	-1.0	n/a
423.083	0.785	control_pumps_fixed_real_RT	n/a	n/a	n/a
423.083	0.772	control_pumps_demean	n/a	0.0	n/a
425.784	0.851	control_pumps_fixed_real_RT	n/a	n/a	n/a
425.784	0.772	control_pumps_demean	n/a	1.0	n/a
435.378	3.506	cash_fixed_real_RT	n/a	n/a	n/a
435.378	0.772	cash_demean	-2.714	n/a	n/a
448.394	2.178	pumps_fixed_real_RT	n/a	n/a	n/a
448.394	0.772	pumps_demean	n/a	n/a	-2.0
453.032	0.772	pumps_demean	n/a	n/a	-1.0
453.032	1.565	pumps_fixed_real_RT	n/a	n/a	n/a
455.83	1.183	pumps_fixed_real_RT	n/a	n/a	n/a
455.83	0.772	pumps_demean	n/a	n/a	0.0
460.042	0.772	pumps_demean	n/a	n/a	1.0
460.042	0.97	pumps_fixed_real_RT	n/a	n/a	n/a
463.966	0.772	pumps_demean	n/a	n/a	2.0
463.966	1.016	pumps_fixed_real_RT	n/a	n/a	n/a
466.167	0.772	cash_demean	2.286	n/a	n/a
466.167	1.854	cash_fixed_real_RT	n/a	n/a	n/a
472.987	0.772	pumps_demean	n/a	n/a	-0.5
472.987	1.082	pumps_fixed_real_RT	n/a	n/a	n/a
477.143	0.772	pumps_demean	n/a	n/a	0.5
477.143	2.318	pumps_fixed_real_RT	n/a	n/a	n/a
