onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	event_sample
47.2070	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	53	24170
48.0566	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	54	24605
48.9062	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	55	25040
49.7559	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	56	25475
50.6074	0.5000	0.0000	31	PRF-HORIZONTAL-U-D-1	sub-som682_ses-nyuecog01_task-prf_run-01.mat	57	25911
51.4570	0.5000	0.0000	32	PRF-HORIZONTAL-U-D-2	sub-som682_ses-nyuecog01_task-prf_run-01.mat	58	26346
52.3066	0.5000	0.0000	33	PRF-HORIZONTAL-U-D-3	sub-som682_ses-nyuecog01_task-prf_run-01.mat	59	26781
53.1562	0.5000	0.0000	34	PRF-HORIZONTAL-U-D-4	sub-som682_ses-nyuecog01_task-prf_run-01.mat	60	27216
54.0078	0.5000	0.0000	35	PRF-HORIZONTAL-U-D-5	sub-som682_ses-nyuecog01_task-prf_run-01.mat	61	27652
54.8574	0.5000	0.0000	36	PRF-HORIZONTAL-U-D-6	sub-som682_ses-nyuecog01_task-prf_run-01.mat	62	28087
55.7070	0.5000	0.0000	37	PRF-HORIZONTAL-U-D-7	sub-som682_ses-nyuecog01_task-prf_run-01.mat	63	28522
56.5566	0.5000	0.0000	38	PRF-HORIZONTAL-U-D-8	sub-som682_ses-nyuecog01_task-prf_run-01.mat	64	28957
57.4082	0.5000	0.0000	39	PRF-HORIZONTAL-U-D-9	sub-som682_ses-nyuecog01_task-prf_run-01.mat	65	29393
58.2578	0.5000	0.0000	40	PRF-HORIZONTAL-U-D-10	sub-som682_ses-nyuecog01_task-prf_run-01.mat	66	29828
59.1074	0.5000	0.0000	41	PRF-HORIZONTAL-U-D-11	sub-som682_ses-nyuecog01_task-prf_run-01.mat	67	30263
59.9570	0.5000	0.0000	42	PRF-HORIZONTAL-U-D-12	sub-som682_ses-nyuecog01_task-prf_run-01.mat	68	30698
60.8086	0.5000	0.0000	43	PRF-HORIZONTAL-U-D-13	sub-som682_ses-nyuecog01_task-prf_run-01.mat	69	31134
61.6582	0.5000	0.0000	44	PRF-HORIZONTAL-U-D-14	sub-som682_ses-nyuecog01_task-prf_run-01.mat	70	31569
62.5078	0.5000	0.0000	45	PRF-HORIZONTAL-U-D-15	sub-som682_ses-nyuecog01_task-prf_run-01.mat	71	32004
63.3574	0.5000	0.0000	46	PRF-HORIZONTAL-U-D-16	sub-som682_ses-nyuecog01_task-prf_run-01.mat	72	32439
64.2090	0.5000	0.0000	47	PRF-HORIZONTAL-U-D-17	sub-som682_ses-nyuecog01_task-prf_run-01.mat	73	32875
65.0586	0.5000	0.0000	48	PRF-HORIZONTAL-U-D-18	sub-som682_ses-nyuecog01_task-prf_run-01.mat	74	33310
65.9082	0.5000	0.0000	49	PRF-HORIZONTAL-U-D-19	sub-som682_ses-nyuecog01_task-prf_run-01.mat	75	33745
66.7578	0.5000	0.0000	50	PRF-HORIZONTAL-U-D-20	sub-som682_ses-nyuecog01_task-prf_run-01.mat	76	34180
67.6094	0.5000	0.0000	51	PRF-HORIZONTAL-U-D-21	sub-som682_ses-nyuecog01_task-prf_run-01.mat	77	34616
68.4590	0.5000	0.0000	52	PRF-HORIZONTAL-U-D-22	sub-som682_ses-nyuecog01_task-prf_run-01.mat	78	35051
69.3086	0.5000	0.0000	53	PRF-HORIZONTAL-U-D-23	sub-som682_ses-nyuecog01_task-prf_run-01.mat	79	35486
70.1602	0.5000	0.0000	54	PRF-HORIZONTAL-U-D-24	sub-som682_ses-nyuecog01_task-prf_run-01.mat	80	35922
71.0098	0.5000	0.0000	55	PRF-HORIZONTAL-U-D-25	sub-som682_ses-nyuecog01_task-prf_run-01.mat	81	36357
71.8594	0.5000	0.0000	56	PRF-HORIZONTAL-U-D-26	sub-som682_ses-nyuecog01_task-prf_run-01.mat	82	36792
72.7090	0.5000	0.0000	57	PRF-HORIZONTAL-U-D-27	sub-som682_ses-nyuecog01_task-prf_run-01.mat	83	37227
73.5605	0.5000	0.0000	58	PRF-HORIZONTAL-U-D-28	sub-som682_ses-nyuecog01_task-prf_run-01.mat	84	37663
74.4102	0.5000	0.0000	71	PRF-DIAGONAL-LD-RU-1	sub-som682_ses-nyuecog01_task-prf_run-01.mat	85	38098
75.2598	0.5000	0.0000	72	PRF-DIAGONAL-LD-RU-2	sub-som682_ses-nyuecog01_task-prf_run-01.mat	86	38533
76.1094	0.5000	0.0000	73	PRF-DIAGONAL-LD-RU-3	sub-som682_ses-nyuecog01_task-prf_run-01.mat	87	38968
76.9609	0.5000	0.0000	74	PRF-DIAGONAL-LD-RU-4	sub-som682_ses-nyuecog01_task-prf_run-01.mat	88	39404
77.8105	0.5000	0.0000	75	PRF-DIAGONAL-LD-RU-5	sub-som682_ses-nyuecog01_task-prf_run-01.mat	89	39839
78.6602	0.5000	0.0000	76	PRF-DIAGONAL-LD-RU-6	sub-som682_ses-nyuecog01_task-prf_run-01.mat	90	40274
79.5098	0.5000	0.0000	77	PRF-DIAGONAL-LD-RU-7	sub-som682_ses-nyuecog01_task-prf_run-01.mat	91	40709
80.3613	0.5000	0.0000	78	PRF-DIAGONAL-LD-RU-8	sub-som682_ses-nyuecog01_task-prf_run-01.mat	92	41145
81.2109	0.5000	0.0000	79	PRF-DIAGONAL-LD-RU-9	sub-som682_ses-nyuecog01_task-prf_run-01.mat	93	41580
82.0605	0.5000	0.0000	80	PRF-DIAGONAL-LD-RU-10	sub-som682_ses-nyuecog01_task-prf_run-01.mat	94	42015
82.9102	0.5000	0.0000	81	PRF-DIAGONAL-LD-RU-11	sub-som682_ses-nyuecog01_task-prf_run-01.mat	95	42450
83.7617	0.5000	0.0000	82	PRF-DIAGONAL-LD-RU-12	sub-som682_ses-nyuecog01_task-prf_run-01.mat	96	42886
84.6113	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	97	43321
85.4609	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	98	43756
86.3105	0.5000	0.0000	255	PRF-BLANK	sub-som682_ses-nyuecog01_task-prf_run-01.mat	99	44191
