onset	duration	trial_type	response_time	sample	value
53.0908203125	0.0000000000	STATUS	n/a	27182	face-upright-f5
53.1738281250	0.0000000000	STATUS	n/a	27225	face-upright-f6
53.7568359375	0.0000000000	STATUS	n/a	27523	house-upright-f1
53.8232421875	0.0000000000	STATUS	n/a	27557	house-upright-f2
53.8896484375	0.0000000000	STATUS	n/a	27591	house-upright-f3
53.9570312500	0.0000000000	STATUS	n/a	27626	house-upright-f4
54.0234375000	0.0000000000	STATUS	n/a	27660	house-upright-f5
54.0898437500	0.0000000000	STATUS	n/a	27694	house-upright-f6
54.5556640625	0.0000000000	STATUS	n/a	27932	face-inverted-f1
54.6230468750	0.0000000000	STATUS	n/a	27967	face-inverted-f2
54.6894531250	0.0000000000	STATUS	n/a	28001	face-inverted-f3
54.7558593750	0.0000000000	STATUS	n/a	28035	face-inverted-f4
54.8222656250	0.0000000000	STATUS	n/a	28069	face-inverted-f5
54.8886718750	0.0000000000	STATUS	n/a	28103	face-inverted-f6
55.3554687500	0.0000000000	STATUS	n/a	28342	checker-f1
55.4384765625	0.0000000000	STATUS	n/a	28384	checker-f2
55.5214843750	0.0000000000	STATUS	n/a	28427	checker-f3
55.6044921875	0.0000000000	STATUS	n/a	28469	checker-f4
55.6884765625	0.0000000000	STATUS	n/a	28512	checker-f5
55.7714843750	0.0000000000	STATUS	n/a	28555	checker-f6
56.3544921875	0.0000000000	STATUS	n/a	28853	face-upright-f1
56.4042968750	0.0000000000	STATUS	n/a	28879	face-upright-f2
56.4541015625	0.0000000000	STATUS	n/a	28904	face-upright-f3
56.5039062500	0.0000000000	STATUS	n/a	28930	face-upright-f4
56.5537109375	0.0000000000	STATUS	n/a	28955	face-upright-f5
56.6035156250	0.0000000000	STATUS	n/a	28981	face-upright-f6
56.9863281250	0.0000000000	STATUS	n/a	29177	house-inverted-f1
57.0361328125	0.0000000000	STATUS	n/a	29202	house-inverted-f2
57.0869140625	0.0000000000	STATUS	n/a	29228	house-inverted-f3
57.1367187500	0.0000000000	STATUS	n/a	29254	house-inverted-f4
57.1865234375	0.0000000000	STATUS	n/a	29279	house-inverted-f5
57.2363281250	0.0000000000	STATUS	n/a	29305	house-inverted-f6
57.6025390625	0.0000000000	STATUS	n/a	29492	house-upright-f1
57.6689453125	0.0000000000	STATUS	n/a	29526	house-upright-f2
57.7363281250	0.0000000000	STATUS	n/a	29561	house-upright-f3
57.8027343750	0.0000000000	STATUS	n/a	29595	house-upright-f4
57.8691406250	0.0000000000	STATUS	n/a	29629	house-upright-f5
57.9355468750	0.0000000000	STATUS	n/a	29663	house-upright-f6
58.4013671875	0.0000000000	STATUS	n/a	29901	face-inverted-f1
58.4853515625	0.0000000000	STATUS	n/a	29944	face-inverted-f2
58.5683593750	0.0000000000	STATUS	n/a	29987	face-inverted-f3
58.6513671875	0.0000000000	STATUS	n/a	30029	face-inverted-f4
58.7343750000	0.0000000000	STATUS	n/a	30072	face-inverted-f5
58.8183593750	0.0000000000	STATUS	n/a	30115	face-inverted-f6
59.4335937500	0.0000000000	STATUS	n/a	30430	face-upright-f1
59.5009765625	0.0000000000	STATUS	n/a	30464	face-upright-f2
59.5673828125	0.0000000000	STATUS	n/a	30498	face-upright-f3
59.6337890625	0.0000000000	STATUS	n/a	30532	face-upright-f4
59.7001953125	0.0000000000	STATUS	n/a	30566	face-upright-f5
59.7666015625	0.0000000000	STATUS	n/a	30600	face-upright-f6
60.2333984375	0.0000000000	STATUS	n/a	30839	house-inverted-f1
60.2998046875	0.0000000000	STATUS	n/a	30873	house-inverted-f2
60.3662109375	0.0000000000	STATUS	n/a	30907	house-inverted-f3
