name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	status
iEEG75	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG76	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG77	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG78	ECoG	uV	300	0.5	iEEG1	1525.9	bad
iEEG79	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG80	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG81	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG82	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG83	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG84	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG85	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG86	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG87	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG88	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG89	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG90	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG91	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG92	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG93	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG94	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG95	ECoG	uV	300	0.5	iEEG1	1525.9	good
iEEG96	ECoG	uV	300	0.5	iEEG1	1525.9	good
