name	x	y	z	size
iEEG81	-21.6856052279472	-5.50779742002487	-10.3148602843291	4
iEEG82	-33.8744054436684	-6.4453974366188	-14.3148557543761	4
iEEG83	-40.4376055598259	-5.50779742002487	-17.3148523569114	4
iEEG84	-53.564005792141	-6.4453974366188	-18.3148512244232	4
iEEG85	-19.8104051947594	-38.3237980008125	-11.3148591518408	4
iEEG86	-29.1864053606987	-32.6981979012489	-14.3148557543761	4
iEEG87	-35.2808054685593	-28.9477978348732	-18.3148512244231	4
iEEG88	-47.4696056842804	-24.7285977602005	-20.3148489594467	4
iEEG89	-55.9080058336258	-18.165397644043	-16.3148534893997	4
iEEG90	-60.5960059165955	-11.1333975195885	-10.3148602843293	4
iEEG91	-62.4712059497833	-6.4453974366188	-3.31486821174703	4
iEEG92	-69.0344060659409	-1.28859734535217	4.68512272834694	4
iEEG93	-69.5032060742378	4.33700275421143	12.6851136684409	4
iEEG94	-69.5032060742378	9.49380284547806	22.6851023435584	4
iEEG95	-69.5032060742378	16.5258029699326	30.6850932836524	4
iEEG96	-69.0344060659409	18.4010030031204	38.6850842237464	4
