onset	duration	value	HED
21.688477	0	face-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
22.271484	0	house-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
22.354492	0	house-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
22.4375	0	house-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
22.520508	0	house-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
22.604492	0	house-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
22.6875	0	house-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
23.270508	0	house-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
23.336914	0	house-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
23.40332	0	house-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
23.469727	0	house-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
23.536133	0	house-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
23.603516	0	house-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
24.069336	0	face-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
24.152344	0	face-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
24.235352	0	face-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
24.319336	0	face-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
24.402344	0	face-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
24.485352	0	face-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
25.101563	0	face-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
25.18457	0	face-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
25.267578	0	face-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
25.351563	0	face-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
25.43457	0	face-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
25.517578	0	face-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
26.100586	0	house-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
26.183594	0	house-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
26.266602	0	house-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
26.350586	0	house-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
26.433594	0	house-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
26.516602	0	house-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
27.099609	0	checker-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image
27.182617	0	checker-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image
27.265625	0	checker-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image
27.348633	0	checker-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image
27.432617	0	checker-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image
27.515625	0	checker-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image
28.131836	0	house-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
28.214844	0	house-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
28.297852	0	house-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
28.380859	0	house-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
28.464844	0	house-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
28.547852	0	house-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
29.130859	0	house-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
29.180664	0	house-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
29.230469	0	house-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
29.280273	0	house-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
29.330078	0	house-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
29.379883	0	house-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
29.729492	0	checker-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image
29.779297	0	checker-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image
29.830078	0	checker-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image
29.879883	0	checker-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image
29.929688	0	checker-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image
29.979492	0	checker-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image
30.378906	0	face-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
30.445313	0	face-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
30.512695	0	face-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
30.579102	0	face-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
30.645508	0	face-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
30.711914	0	face-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
31.195313	0	face-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
31.27832	0	face-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
31.344727	0	face-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
31.427734	0	face-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
31.510742	0	face-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
31.578125	0	face-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
32.126953	0	house-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
32.209961	0	house-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
32.293945	0	house-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
32.376953	0	house-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
32.459961	0	house-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
32.542969	0	house-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Upward
33.142578	0	face-upright-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
33.208984	0	face-upright-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
33.276367	0	face-upright-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
33.342773	0	face-upright-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
33.40918	0	face-upright-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
33.475586	0	face-upright-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, Upward
33.941406	0	face-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
34.025391	0	face-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
34.108398	0	face-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
34.191406	0	face-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
34.274414	0	face-inverted-f5	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
34.358398	0	face-inverted-f6	Sensory-event, Experimental-stimulus, Visual-presentation, Image, Face, (Rotated, Downward)
34.94043	0	house-inverted-f1	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
35.024414	0	house-inverted-f2	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
35.107422	0	house-inverted-f3	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
35.19043	0	house-inverted-f4	Sensory-event, Experimental-stimulus, Visual-presentation, Image, (Rotated, Downward)
