index	name	network_label	name_7network	index_17network	name_17network	network_label_17network	atlas_name
90	LH_Default_PFC_8	Default	7Networks_LH_Default_PFC_8	50.0	17Networks_LH_SalVentAttnB_PFCmp_1	SalVentAttnB	Schaefer200
91	LH_Default_PFC_9	Default	7Networks_LH_Default_PFC_9	89.0	17Networks_LH_DefaultB_PFCd_2	DefaultB	Schaefer200
92	LH_Default_PFC_10	Default	7Networks_LH_Default_PFC_10	90.0	17Networks_LH_DefaultB_PFCd_3	DefaultB	Schaefer200
93	LH_Default_PFC_11	Default	7Networks_LH_Default_PFC_11	69.0	17Networks_LH_ContB_PFCl_1	ContB	Schaefer200
94	LH_Default_PFC_12	Default	7Networks_LH_Default_PFC_12	76.0	17Networks_LH_DefaultA_PFCd_1	DefaultA	Schaefer200
95	LH_Default_PFC_13	Default	7Networks_LH_Default_PFC_13	91.0	17Networks_LH_DefaultB_PFCd_4	DefaultB	Schaefer200
96	LH_Default_pCunPCC_1	Default	7Networks_LH_Default_pCunPCC_1	97.0	17Networks_LH_DefaultC_Rsp_1	DefaultC	Schaefer200
97	LH_Default_pCunPCC_2	Default	7Networks_LH_Default_pCunPCC_2	77.0	17Networks_LH_DefaultA_pCunPCC_1	DefaultA	Schaefer200
98	LH_Default_pCunPCC_3	Default	7Networks_LH_Default_pCunPCC_3	78.0	17Networks_LH_DefaultA_pCunPCC_2	DefaultA	Schaefer200
99	LH_Default_pCunPCC_4	Default	7Networks_LH_Default_pCunPCC_4	79.0	17Networks_LH_DefaultA_pCunPCC_3	DefaultA	Schaefer200
100	LH_Default_PHC_1	Default	7Networks_LH_Default_PHC_1	98.0	17Networks_LH_DefaultC_PHC_1	DefaultC	Schaefer200
101	RH_Vis_1	Vis	7Networks_RH_Vis_1	164.0	17Networks_RH_LimbicA_TempPole_4	LimbicA	Schaefer200
102	RH_Vis_2	Vis	7Networks_RH_Vis_2	196.0	17Networks_RH_DefaultC_PHC_1	DefaultC	Schaefer200
103	RH_Vis_3	Vis	7Networks_RH_Vis_3	101.0	17Networks_RH_VisCent_ExStr_1	VisCent	Schaefer200
104	RH_Vis_4	Vis	7Networks_RH_Vis_4	107.0	17Networks_RH_VisPeri_ExStrInf_1	VisPeri	Schaefer200
105	RH_Vis_5	Vis	7Networks_RH_Vis_5	102.0	17Networks_RH_VisCent_ExStr_2	VisCent	Schaefer200
106	RH_Vis_6	Vis	7Networks_RH_Vis_6	103.0	17Networks_RH_VisCent_Striate_1	VisCent	Schaefer200
107	RH_Vis_7	Vis	7Networks_RH_Vis_7	108.0	17Networks_RH_VisPeri_ExStrInf_2	VisPeri	Schaefer200
108	RH_Vis_8	Vis	7Networks_RH_Vis_8	104.0	17Networks_RH_VisCent_ExStr_3	VisCent	Schaefer200
109	RH_Vis_9	Vis	7Networks_RH_Vis_9	109.0	17Networks_RH_VisPeri_StriCal_1	VisPeri	Schaefer200
110	RH_Vis_10	Vis	7Networks_RH_Vis_10	110.0	17Networks_RH_VisPeri_ExStrSup_1	VisPeri	Schaefer200
111	RH_Vis_11	Vis	7Networks_RH_Vis_11	105.0	17Networks_RH_VisCent_ExStr_4	VisCent	Schaefer200
112	RH_Vis_12	Vis	7Networks_RH_Vis_12	106.0	17Networks_RH_VisCent_ExStr_5	VisCent	Schaefer200
113	RH_Vis_13	Vis	7Networks_RH_Vis_13	111.0	17Networks_RH_VisPeri_ExStrSup_2	VisPeri	Schaefer200
114	RH_Vis_14	Vis	7Networks_RH_Vis_14	112.0	17Networks_RH_VisPeri_ExStrSup_3	VisPeri	Schaefer200
115	RH_Vis_15	Vis	7Networks_RH_Vis_15	133.0	17Networks_RH_DorsAttnA_SPL_1	DorsAttnA	Schaefer200
116	RH_SomMot_1	SomMot	7Networks_RH_SomMot_1	124.0	17Networks_RH_SomMotB_Aud_1	SomMotB	Schaefer200
117	RH_SomMot_2	SomMot	7Networks_RH_SomMot_2	125.0	17Networks_RH_SomMotB_Aud_2	SomMotB	Schaefer200
118	RH_SomMot_3	SomMot	7Networks_RH_SomMot_3	126.0	17Networks_RH_SomMotB_S2_1	SomMotB	Schaefer200
119	RH_SomMot_4	SomMot	7Networks_RH_SomMot_4	127.0	17Networks_RH_SomMotB_S2_2	SomMotB	Schaefer200
120	RH_SomMot_5	SomMot	7Networks_RH_SomMot_5	128.0	17Networks_RH_SomMotB_S2_3	SomMotB	Schaefer200
121	RH_SomMot_6	SomMot	7Networks_RH_SomMot_6	129.0	17Networks_RH_SomMotB_S2_4	SomMotB	Schaefer200
122	RH_SomMot_7	SomMot	7Networks_RH_SomMot_7	130.0	17Networks_RH_SomMotB_Cent_1	SomMotB	Schaefer200
123	RH_SomMot_8	SomMot	7Networks_RH_SomMot_8	148.0	17Networks_RH_SalVentAttnA_ParMed_1	SalVentAttnA	Schaefer200
124	RH_SomMot_9	SomMot	7Networks_RH_SomMot_9	113.0	17Networks_RH_SomMotA_1	SomMotA	Schaefer200
125	RH_SomMot_10	SomMot	7Networks_RH_SomMot_10	114.0	17Networks_RH_SomMotA_2	SomMotA	Schaefer200
126	RH_SomMot_11	SomMot	7Networks_RH_SomMot_11	115.0	17Networks_RH_SomMotA_3	SomMotA	Schaefer200
127	RH_SomMot_12	SomMot	7Networks_RH_SomMot_12	116.0	17Networks_RH_SomMotA_4	SomMotA	Schaefer200
128	RH_SomMot_13	SomMot	7Networks_RH_SomMot_13	117.0	17Networks_RH_SomMotA_5	SomMotA	Schaefer200
129	RH_SomMot_14	SomMot	7Networks_RH_SomMot_14	118.0	17Networks_RH_SomMotA_6	SomMotA	Schaefer200
130	RH_SomMot_15	SomMot	7Networks_RH_SomMot_15	119.0	17Networks_RH_SomMotA_7	SomMotA	Schaefer200
131	RH_SomMot_16	SomMot	7Networks_RH_SomMot_16	120.0	17Networks_RH_SomMotA_8	SomMotA	Schaefer200
132	RH_SomMot_17	SomMot	7Networks_RH_SomMot_17	121.0	17Networks_RH_SomMotA_9	SomMotA	Schaefer200
133	RH_SomMot_18	SomMot	7Networks_RH_SomMot_18	122.0	17Networks_RH_SomMotA_10	SomMotA	Schaefer200
134	RH_SomMot_19	SomMot	7Networks_RH_SomMot_19	123.0	17Networks_RH_SomMotA_11	SomMotA	Schaefer200
135	RH_DorsAttn_Post_1	DorsAttn	7Networks_RH_DorsAttn_Post_1	131.0	17Networks_RH_DorsAttnA_TempOcc_1	DorsAttnA	Schaefer200
136	RH_DorsAttn_Post_2	DorsAttn	7Networks_RH_DorsAttn_Post_2	132.0	17Networks_RH_DorsAttnA_ParOcc_1	DorsAttnA	Schaefer200
137	RH_DorsAttn_Post_3	DorsAttn	7Networks_RH_DorsAttn_Post_3	137.0	17Networks_RH_DorsAttnB_PostC_1	DorsAttnB	Schaefer200
138	RH_DorsAttn_Post_4	DorsAttn	7Networks_RH_DorsAttn_Post_4	166.0	17Networks_RH_ContA_IPS_2	ContA	Schaefer200
139	RH_DorsAttn_Post_5	DorsAttn	7Networks_RH_DorsAttn_Post_5	138.0	17Networks_RH_DorsAttnB_PostC_2	DorsAttnB	Schaefer200
140	RH_DorsAttn_Post_6	DorsAttn	7Networks_RH_DorsAttn_Post_6	134.0	17Networks_RH_DorsAttnA_SPL_2	DorsAttnA	Schaefer200
141	RH_DorsAttn_Post_7	DorsAttn	7Networks_RH_DorsAttn_Post_7	135.0	17Networks_RH_DorsAttnA_SPL_3	DorsAttnA	Schaefer200
142	RH_DorsAttn_Post_8	DorsAttn	7Networks_RH_DorsAttn_Post_8	136.0	17Networks_RH_DorsAttnA_SPL_4	DorsAttnA	Schaefer200
143	RH_DorsAttn_Post_9	DorsAttn	7Networks_RH_DorsAttn_Post_9	139.0	17Networks_RH_DorsAttnB_PostC_3	DorsAttnB	Schaefer200
144	RH_DorsAttn_Post_10	DorsAttn	7Networks_RH_DorsAttn_Post_10	140.0	17Networks_RH_DorsAttnB_PostC_4	DorsAttnB	Schaefer200
145	RH_DorsAttn_FEF_1	DorsAttn	7Networks_RH_DorsAttn_FEF_1	141.0	17Networks_RH_DorsAttnB_FEF_1	DorsAttnB	Schaefer200
146	RH_DorsAttn_FEF_2	DorsAttn	7Networks_RH_DorsAttn_FEF_2	167.0	17Networks_RH_ContA_PFCd_1	ContA	Schaefer200
147	RH_DorsAttn_PrCv_1	DorsAttn	7Networks_RH_DorsAttn_PrCv_1	168.0	17Networks_RH_ContA_PFCl_1	ContA	Schaefer200
148	RH_SalVentAttn_TempOccPar_1	SalVentAttn	7Networks_RH_SalVentAttn_TempOccPar_1	199.0	17Networks_RH_TempPar_3	TempPar	Schaefer200
149	RH_SalVentAttn_TempOccPar_2	SalVentAttn	7Networks_RH_SalVentAttn_TempOccPar_2	200.0	17Networks_RH_TempPar_4	TempPar	Schaefer200
150	RH_SalVentAttn_TempOccPar_3	SalVentAttn	7Networks_RH_SalVentAttn_TempOccPar_3	142.0	17Networks_RH_SalVentAttnA_ParOper_1	SalVentAttnA	Schaefer200
151	RH_SalVentAttn_PrC_1	SalVentAttn	7Networks_RH_SalVentAttn_PrC_1	143.0	17Networks_RH_SalVentAttnA_PrC_1	SalVentAttnA	Schaefer200
152	RH_SalVentAttn_FrOperIns_1	SalVentAttn	7Networks_RH_SalVentAttn_FrOperIns_1	144.0	17Networks_RH_SalVentAttnA_Ins_1	SalVentAttnA	Schaefer200
153	RH_SalVentAttn_FrOperIns_2	SalVentAttn	7Networks_RH_SalVentAttn_FrOperIns_2	145.0	17Networks_RH_SalVentAttnA_Ins_2	SalVentAttnA	Schaefer200
154	RH_SalVentAttn_FrOperIns_3	SalVentAttn	7Networks_RH_SalVentAttn_FrOperIns_3	155.0	17Networks_RH_SalVentAttnB_Ins_2	SalVentAttnB	Schaefer200
155	RH_SalVentAttn_FrOperIns_4	SalVentAttn	7Networks_RH_SalVentAttn_FrOperIns_4	146.0	17Networks_RH_SalVentAttnA_FrOper_1	SalVentAttnA	Schaefer200
156	RH_SalVentAttn_Med_1	SalVentAttn	7Networks_RH_SalVentAttn_Med_1	147.0	17Networks_RH_SalVentAttnA_FrMed_1	SalVentAttnA	Schaefer200
157	RH_SalVentAttn_Med_2	SalVentAttn	7Networks_RH_SalVentAttn_Med_2	149.0	17Networks_RH_SalVentAttnA_ParMed_2	SalVentAttnA	Schaefer200
158	RH_SalVentAttn_Med_3	SalVentAttn	7Networks_RH_SalVentAttn_Med_3	150.0	17Networks_RH_SalVentAttnA_FrMed_2	SalVentAttnA	Schaefer200
