onset	duration	trial	hand_raised	value	sample	countdown_onset	countdown_offset	response_time	feedback_onset_approx	stim_file	trial_type	stage	bci_prediction	latency	n_repeated
1082.7022	0	84	right	2.0	5413511.0	1079.6188666666667	1082.6188666666667	83.3333333333	1082.7705333333333	right_hand.png	raised-right/match-false	2	left	-35.4	4
1087.339	0	85	right	2.0	5436695.0	1084.239	1087.239	100.0	1087.4073333333333	left_hand.png	raised-right/match-true	2	right	-38.4	4
1092.0256	0	86	left	1.0	5460128.0	1088.8755999999998	1091.8755999999998	150.0	1092.0939333333333	right_hand.png	raised-left/match-true	2	left	-40.4	4
1103.5678	0	87	right	2.0	5517839.0	1100.4178	1103.4178	150.0	1103.6361333333334	left_hand.png	raised-right/match-true	2	right	-37.0	5
1108.3758	0	88	left	1.0	5541879.0	1105.3091333333334	1108.3091333333334	66.6666666667	1108.4441333333334	left_hand.png	raised-left/match-false	2	right	-57.8	5
1112.925	0	89	right	2.0	5564625.0	1109.9083333333333	1112.9083333333333	16.6666666667	1112.9933333333333	left_hand.png	raised-right/match-true	2	right	-50.2	5
1117.6456	0	90	left	1.0	5588228.0	1114.4622666666671	1117.4622666666671	183.333333333	1117.7139333333334	right_hand.png	raised-left/match-true	2	left	-48.0	5
1122.3364	0	91	left	1.0	5611682.0	1119.1863999999998	1122.1863999999998	150.0	1122.4047333333333	right_hand.png	raised-left/match-true	2	left	-49.4	5
1126.9192	0	92	right	2.0	5634596.0	1123.8692	1126.8692	50.0	1126.9875333333334	left_hand.png	raised-right/match-true	2	right	-41.2	5
1131.7898	0	93	right	2.0	5658949.0	1128.656466666667	1131.656466666667	133.33333333299998	1131.8581333333334	left_hand.png	raised-right/match-true	2	right	-36.6	5
1136.4268	0	94	left	1.0	5682134.0	1133.3268	1136.3268	100.0	1136.4951333333333	left_hand.png	raised-left/match-false	2	right	-51.2	5
1141.047	0	95	left	1.0	5705235.0	1137.9636666666668	1140.9636666666668	83.3333333333	1141.1153333333334	right_hand.png	raised-left/match-true	2	left	-25.2	5
1145.735	0	96	left	1.0	5728675.0	1142.5849999999998	1145.5849999999998	150.0	1145.8033333333333	right_hand.png	raised-left/match-true	2	left	-66.6	5
1150.4038	0	97	left	1.0	5752019.0	1147.270466666667	1150.270466666667	133.33333333299998	1150.4721333333334	left_hand.png	raised-left/match-false	2	right	-40.2	5
1154.9912	0	98	left	1.0	5774956.0	1151.9412	1154.9412	50.0	1155.0595333333333	right_hand.png	raised-left/match-true	2	left	-30.0	5
1159.5652	0	99	right	2.0	5797826.0	1156.5318666666667	1159.5318666666667	33.3333333333	1159.6335333333334	left_hand.png	raised-right/match-true	2	right	-47.2	5
1164.2312	0	100	right	2.0	5821156.0	1161.1312	1164.1312	100.0	1164.2995333333333	left_hand.png	raised-right/match-true	2	right	-54.0	5
1295.6156	0	1	right	2.0	6478078.0	1292.5489333333335	1295.5489333333335	66.6666666667	1295.6839333333335	left_hand.png	raised-right/match-true	3	right	-33.6	0
1300.4736	0	2	left	1.0	6502368.0	1297.3736000000001	1300.3736000000001	100.0	1300.5419333333334	left_hand.png	raised-left/match-false	3	right	-27.6	0
1305.1566	0	3	left	1.0	6525783.0	1302.039933333333	1305.039933333333	116.666666667	1305.2249333333334	left_hand.png	raised-left/match-false	3	right	-25.8	0
1310.0476	0	4	right	2.0	6550238.0	1306.8976	1309.8976	150.0	1310.1159333333335	left_hand.png	raised-right/match-true	3	right	-27.2	0
1314.6636	0	5	left	1.0	6573318.0	1311.5802666666668	1314.5802666666668	83.3333333333	1314.7319333333335	right_hand.png	raised-left/match-true	3	left	-35.2	0
1319.2879999999998	0	6	right	2.0	6596440.0	1316.2046666666665	1319.2046666666665	83.3333333333	1319.3563333333332	left_hand.png	raised-right/match-true	3	right	-26.0	0
1323.871	0	7	right	2.0	6619355.0	1320.8210000000001	1323.8210000000001	50.0	1323.9393333333335	left_hand.png	raised-right/match-true	3	right	-52.2	0
1328.474	0	8	right	2.0	6642370.0	1325.4073333333333	1328.4073333333333	66.6666666667	1328.5423333333333	left_hand.png	raised-right/match-true	3	right	-47.2	0
1333.0616	0	9	left	1.0	6665308.0	1330.0116	1333.0116	50.0	1333.1299333333334	right_hand.png	raised-left/match-true	3	left	-26.8	0
1337.6486	0	10	right	2.0	6688243.0	1334.5986	1337.5986	50.0	1337.7169333333334	left_hand.png	raised-right/match-true	3	right	-37.8	0
1342.3018	0	11	left	1.0	6711509.0	1339.185133333333	1342.185133333333	116.666666667	1342.3701333333333	left_hand.png	raised-left/match-false	3	right	-25.4	0
1346.9888	0	12	left	1.0	6734944.0	1343.8888000000002	1346.8888000000002	100.0	1347.0571333333335	right_hand.png	raised-left/match-true	3	left	-74.0	0
1351.7602	0	13	left	1.0	6758801.0	1348.6602	1351.6602	100.0	1351.8285333333333	right_hand.png	raised-left/match-true	3	left	-37.4	0
1356.6002	0	14	left	1.0	6783001.0	1353.5335333333335	1356.5335333333335	66.6666666667	1356.6685333333335	right_hand.png	raised-left/match-true	3	left	-42.6	0
1361.433	0	15	right	2.0	6807165.0	1358.3663333333334	1361.3663333333334	66.6666666667	1361.5013333333334	left_hand.png	raised-right/match-true	3	right	-59.0	0
