onset	duration	event_sample	event_value	trial_type
24.1027272727273	900	26513	5	famous_new
25.4545454545455	900	28000	0	response
27.2772727272727	900	30005	5	famous_new
27.8972727272727	900	30687	0	response
30.5681818181818	900	33625	13	unfamiliar_new
31.6281818181818	900	34791	0	response
33.8254545454545	900	37208	14	unfamiliar_second_early
34.5536363636364	900	38009	0	response
37.0490909090909	900	40754	5	famous_new
38.2490909090909	900	42074	0	response
40.3572727272727	900	44393	6	famous_second_early
41.0118181818182	900	45113	0	response
43.4809090909091	900	47829	17	scrambled_new
44.6281818181818	900	49091	0	response
46.5209090909091	900	51173	18	scrambled_second_early
47.3272727272727	900	52060	0	response
49.7790909090909	900	54757	13	unfamiliar_new
51.3281818181818	900	56461	0	response
53.0027272727273	900	58303	7	famous_second_late
53.6481818181818	900	59013	0	response
56.1772727272727	900	61795	17	scrambled_new
56.9627272727273	900	62659	0	response
59.3845454545455	900	65323	7	famous_second_late
60.5054545454545	900	66556	0	response
62.5418181818182	900	68796	17	scrambled_new
63.6854545454545	900	70054	0	response
65.8327272727273	900	72416	18	scrambled_second_early
66.5854545454545	900	73244	0	response
68.89	900	75779	5	famous_new
69.5327272727273	900	76486	0	response
72.2636363636364	900	79490	13	unfamiliar_new
72.97	900	80267	0	response
75.3209090909091	900	82853	14	unfamiliar_second_early
75.9636363636364	900	83560	0	response
78.4618181818182	900	86308	13	unfamiliar_new
79.3190909090909	900	87251	0	response
81.7027272727273	900	89873	15	unfamiliar_second_late
82.8490909090909	900	91134	0	response
84.86	900	93346	17	scrambled_new
85.9672727272727	900	94564	0	response
87.9336363636364	900	96727	19	scrambled_second_late
88.6081818181818	900	97469	0	response
90.99	900	100089	5	famous_new
92.1527272727273	900	101368	0	response
94.1481818181818	900	103563	6	famous_second_early
95.0227272727273	900	104525	0	response
97.4554545454545	900	107201	17	scrambled_new
99.0527272727273	900	108958	0	response
100.762727272727	900	110839	7	famous_second_late
101.501818181818	900	111652	0	response
103.987272727273	900	114386	5	famous_new
105.025454545455	900	115528	0	response
107.160909090909	900	117877	13	unfamiliar_new
109.307272727273	900	120238	0	response
110.451818181818	900	121497	14	unfamiliar_second_early
111.496363636364	900	122646	0	response
113.642727272727	900	125007	15	unfamiliar_second_late
114.670909090909	900	126138	0	response
