name	type	units	sampling_frequency	tracking_system	tracked_point	component	placement
PhaseSpace_Rigid5_cart_y	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid5	y	LeftForeFoot
PhaseSpace_Rigid5_cart_z	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid5	z	LeftForeFoot
PhaseSpace_Rigid9_eul_z	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid9	z	RightForeFoot
PhaseSpace_Rigid9_eul_x	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid9	x	RightForeFoot
PhaseSpace_Rigid9_eul_y	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid9	y	RightForeFoot
PhaseSpace_Rigid9_cart_x	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid9	x	RightForeFoot
PhaseSpace_Rigid9_cart_y	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid9	y	RightForeFoot
PhaseSpace_Rigid9_cart_z	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid9	z	RightForeFoot
PhaseSpace_Rigid8_eul_z	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid8	z	RightAnkle
PhaseSpace_Rigid8_eul_x	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid8	x	RightAnkle
PhaseSpace_Rigid8_eul_y	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid8	y	RightAnkle
PhaseSpace_Rigid8_cart_x	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid8	x	RightAnkle
PhaseSpace_Rigid8_cart_y	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid8	y	RightAnkle
PhaseSpace_Rigid8_cart_z	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid8	z	RightAnkle
PhaseSpace_Rigid4_eul_z	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid4	z	LeftAnkle
PhaseSpace_Rigid4_eul_x	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid4	x	LeftAnkle
PhaseSpace_Rigid4_eul_y	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid4	y	LeftAnkle
PhaseSpace_Rigid4_cart_x	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid4	x	LeftAnkle
PhaseSpace_Rigid4_cart_y	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid4	y	LeftAnkle
PhaseSpace_Rigid4_cart_z	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid4	z	LeftAnkle
PhaseSpace_Rigid7_eul_z	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid7	z	RightLowerLeg
PhaseSpace_Rigid7_eul_x	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid7	x	RightLowerLeg
PhaseSpace_Rigid7_eul_y	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid7	y	RightLowerLeg
PhaseSpace_Rigid7_cart_x	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid7	x	RightLowerLeg
PhaseSpace_Rigid7_cart_y	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid7	y	RightLowerLeg
PhaseSpace_Rigid7_cart_z	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid7	z	RightLowerLeg
PhaseSpace_Rigid3_eul_z	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid3	z	LeftLowerLeg
PhaseSpace_Rigid3_eul_x	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid3	x	LeftLowerLeg
PhaseSpace_Rigid3_eul_y	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid3	y	LeftLowerLeg
PhaseSpace_Rigid3_cart_x	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid3	x	LeftLowerLeg
PhaseSpace_Rigid3_cart_y	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid3	y	LeftLowerLeg
PhaseSpace_Rigid3_cart_z	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid3	z	LeftLowerLeg
