onset	duration	response_time	button_press	stim_file
n/a	n/a	2.604	2	meg/f082.bmp
n/a	n/a	3.282	1	meg/u093.bmp
n/a	n/a	1.05	1	meg/u081.bmp
n/a	n/a	0.809	1	meg/u122.bmp
n/a	n/a	2.53	2	meg/f052.bmp
n/a	n/a	1.082	1	meg/f020.bmp
n/a	n/a	2.264	2	meg/u068.bmp
n/a	n/a	1.228	1	meg/u124.bmp
n/a	n/a	2.275	2	meg/u113.bmp
n/a	n/a	0.702	1	meg/f110.bmp
n/a	n/a	1.012	1	meg/u146.bmp
n/a	n/a	1.364	1	meg/u073.bmp
n/a	n/a	4.942	1	meg/u126.bmp
n/a	n/a	2.433	1	meg/f112.bmp
n/a	n/a	1.782	1	meg/u101.bmp
n/a	n/a	3.558	1	meg/u082.bmp
n/a	n/a	1.564	1	meg/u080.bmp
n/a	n/a	2.164	1	meg/f144.bmp
n/a	n/a	0.676	1	meg/u013.bmp
n/a	n/a	1.163	1	meg/u079.bmp
n/a	n/a	2.973	1	meg/u033.bmp
n/a	n/a	2.18	1	meg/u140.bmp
n/a	n/a	0.755	1	meg/u085.bmp
n/a	n/a	0.878	1	meg/u120.bmp
n/a	n/a	0.716	1	meg/f118.bmp
n/a	n/a	1.506	1	meg/f149.bmp
n/a	n/a	1.013	1	meg/f061.bmp
n/a	n/a	1.622	1	meg/f132.bmp
n/a	n/a	1.612	3	meg/f022.bmp
n/a	n/a	1.315	1	meg/u039.bmp
n/a	n/a	1.183	1	meg/u024.bmp
n/a	n/a	1.425	1	meg/u006.bmp
n/a	n/a	0.864	1	meg/f140.bmp
n/a	n/a	0.999	1	meg/u136.bmp
n/a	n/a	3.207	3	meg/f034.bmp
n/a	n/a	2.019	1	meg/u050.bmp
n/a	n/a	0.729	1	meg/u103.bmp
n/a	n/a	1.566	1	meg/f045.bmp
n/a	n/a	1.391	1	meg/u087.bmp
n/a	n/a	1.68	2	meg/f037.bmp
n/a	n/a	1.156	1	meg/f011.bmp
n/a	n/a	2.054	1	meg/u012.bmp
n/a	n/a	0.971	1	meg/u007.bmp
n/a	n/a	1.277	1	meg/u096.bmp
n/a	n/a	1.779	1	meg/f043.bmp
n/a	n/a	0.795	1	meg/f039.bmp
n/a	n/a	1.341	1	meg/u027.bmp
n/a	n/a	0.751	1	meg/u037.bmp
n/a	n/a	1.043	1	meg/f048.bmp
n/a	n/a	3.762	1	meg/f081.bmp
n/a	n/a	1.183	1	meg/u061.bmp
n/a	n/a	0.927	1	meg/f134.bmp
n/a	n/a	0.803	1	meg/u055.bmp
n/a	n/a	3.708	2	meg/f120.bmp
n/a	n/a	1.419	1	meg/f003.bmp
n/a	n/a	0.699	1	meg/u025.bmp
n/a	n/a	0.665	1	meg/u099.bmp
n/a	n/a	1.48	1	meg/f139.bmp
n/a	n/a	2.193	1	meg/u109.bmp
n/a	n/a	1.223	1	meg/u098.bmp
n/a	n/a	3.791	2	meg/f115.bmp
n/a	n/a	1.634	1	meg/f125.bmp
n/a	n/a	1.913	1	meg/f086.bmp
n/a	n/a	0.748	1	meg/u148.bmp
n/a	n/a	1.775	1	meg/f101.bmp
n/a	n/a	0.664	1	meg/u145.bmp
n/a	n/a	0.671	1	meg/u111.bmp
n/a	n/a	0.605	1	meg/u011.bmp
n/a	n/a	0.798	1	meg/f102.bmp
n/a	n/a	2.312	1	meg/u112.bmp
n/a	n/a	0.77	1	meg/f058.bmp
n/a	n/a	2.092	1	meg/f014.bmp
n/a	n/a	0.815	1	meg/u150.bmp
n/a	n/a	5.576	2	meg/f013.bmp
n/a	n/a	1.337	1	meg/f005.bmp
n/a	n/a	0.876	1	meg/f047.bmp
n/a	n/a	0.682	1	meg/u063.bmp
n/a	n/a	1.193	1	meg/u076.bmp
n/a	n/a	3.042	1	meg/f019.bmp
n/a	n/a	1.084	1	meg/f116.bmp
n/a	n/a	0.778	1	meg/u083.bmp
n/a	n/a	0.676	1	meg/u023.bmp
n/a	n/a	0.795	1	meg/u072.bmp
n/a	n/a	0.749	1	meg/f078.bmp
n/a	n/a	1.352	1	meg/f009.bmp
n/a	n/a	0.786	1	meg/f094.bmp
n/a	n/a	0.668	1	meg/f107.bmp
n/a	n/a	2.275	1	meg/u104.bmp
n/a	n/a	2.711	2	meg/f092.bmp
n/a	n/a	2.159	1	meg/u028.bmp
n/a	n/a	1.527	1	meg/u128.bmp
n/a	n/a	2.306	1	meg/f018.bmp
n/a	n/a	2.012	1	meg/u038.bmp
n/a	n/a	3.09	1	meg/u131.bmp
n/a	n/a	2.028	1	meg/u127.bmp
n/a	n/a	2.129	1	meg/u020.bmp
n/a	n/a	1.627	1	meg/u058.bmp
n/a	n/a	1.673	1	meg/f089.bmp
n/a	n/a	0.918	1	meg/f104.bmp
n/a	n/a	1.77	1	meg/u043.bmp
n/a	n/a	2.514	1	meg/u047.bmp
n/a	n/a	3.092	1	meg/f150.bmp
n/a	n/a	2.308	1	meg/u026.bmp
n/a	n/a	3.126	1	meg/u071.bmp
n/a	n/a	3.461	2	meg/f042.bmp
