onset	duration	value
89.327148	0.0	checker-f3
89.393555	0.0	checker-f4
89.459961	0.0	checker-f5
89.526367	0.0	checker-f6
89.993164	0.0	house-inverted-f1
90.076172	0.0	house-inverted-f2
90.15918	0.0	house-inverted-f3
90.242188	0.0	house-inverted-f4
90.326172	0.0	house-inverted-f5
90.40918	0.0	house-inverted-f6
90.992188	0.0	face-upright-f1
91.058594	0.0	face-upright-f2
91.125	0.0	face-upright-f3
91.191406	0.0	face-upright-f4
91.257813	0.0	face-upright-f5
91.325195	0.0	face-upright-f6
91.791016	0.0	face-inverted-f1
91.857422	0.0	face-inverted-f2
91.923828	0.0	face-inverted-f3
91.990234	0.0	face-inverted-f4
92.057617	0.0	face-inverted-f5
92.124023	0.0	face-inverted-f6
92.589844	0.0	house-upright-f1
92.639648	0.0	house-upright-f2
92.689453	0.0	house-upright-f3
92.740234	0.0	house-upright-f4
92.790039	0.0	house-upright-f5
92.839844	0.0	house-upright-f6
93.189453	0.0	house-inverted-f1
93.255859	0.0	house-inverted-f2
93.322266	0.0	house-inverted-f3
93.388672	0.0	house-inverted-f4
93.456055	0.0	house-inverted-f5
93.522461	0.0	house-inverted-f6
93.988281	0.0	house-upright-f1
94.054688	0.0	house-upright-f2
94.12207	0.0	house-upright-f3
94.188477	0.0	house-upright-f4
94.254883	0.0	house-upright-f5
94.321289	0.0	house-upright-f6
94.788086	0.0	checker-f1
94.854492	0.0	checker-f2
94.920898	0.0	checker-f3
94.987305	0.0	checker-f4
95.053711	0.0	checker-f5
95.120117	0.0	checker-f6
95.586914	0.0	face-upright-f1
95.65332	0.0	face-upright-f2
95.719727	0.0	face-upright-f3
95.786133	0.0	face-upright-f4
95.853516	0.0	face-upright-f5
95.919922	0.0	face-upright-f6
96.385742	0.0	face-inverted-f1
96.452148	0.0	face-inverted-f2
96.519531	0.0	face-inverted-f3
96.585938	0.0	face-inverted-f4
96.652344	0.0	face-inverted-f5
96.71875	0.0	face-inverted-f6
97.18457	0.0	house-inverted-f1
97.268555	0.0	house-inverted-f2
97.351563	0.0	house-inverted-f3
97.43457	0.0	house-inverted-f4
97.517578	0.0	house-inverted-f5
97.601563	0.0	house-inverted-f6
98.183594	0.0	checker-f1
98.250977	0.0	checker-f2
98.317383	0.0	checker-f3
98.383789	0.0	checker-f4
98.450195	0.0	checker-f5
98.516602	0.0	checker-f6
98.983398	0.0	face-inverted-f1
99.049805	0.0	face-inverted-f2
99.116211	0.0	face-inverted-f3
99.182617	0.0	face-inverted-f4
99.249023	0.0	face-inverted-f5
99.316406	0.0	face-inverted-f6
99.782227	0.0	face-upright-f1
99.848633	0.0	face-upright-f2
99.915039	0.0	face-upright-f3
99.982422	0.0	face-upright-f4
100.048828	0.0	face-upright-f5
100.115234	0.0	face-upright-f6
100.581055	0.0	house-upright-f1
100.664063	0.0	house-upright-f2
100.748047	0.0	house-upright-f3
100.831055	0.0	house-upright-f4
100.914063	0.0	house-upright-f5
100.99707	0.0	house-upright-f6
101.580078	0.0	checker-f1
101.663086	0.0	checker-f2
101.74707	0.0	checker-f3
101.830078	0.0	checker-f4
101.913086	0.0	checker-f5
101.996094	0.0	checker-f6
102.579102	0.0	face-inverted-f1
102.662109	0.0	face-inverted-f2
102.728516	0.0	face-inverted-f3
102.8125	0.0	face-inverted-f4
102.878906	0.0	face-inverted-f5
102.961914	0.0	face-inverted-f6
103.495117	0.0	face-upright-f1
103.561523	0.0	face-upright-f2
103.62793	0.0	face-upright-f3
103.694336	0.0	face-upright-f4
103.760742	0.0	face-upright-f5
103.828125	0.0	face-upright-f6
104.293945	0.0	house-upright-f1
104.360352	0.0	house-upright-f2
