global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	std_dvars	dvars	framewise_displacement	rmsd	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23
9302.0618226037	-720.2058185897204	86528354.15154128	518696.4211304892	11950.043111607196	-1930.9739840687323	3728660.527150274	142803530.3692706	10720.29810765674	-181.13975695719452	32811.61155051151	114924791.51702867	10534.159446198992	0.7259609999999999	308.331055	0.8382953588930988	0.5704024168170009	0.1279893446658206	-0.1046521059758164	0.0163812723479862	0.0109520632851735	0.294245116348236	0.138755549621294	0.0192531025507073	0.0865801884947869	1.6185454906896697	-0.5469619063957933	2.619689505431864	0.2991673270481206	-0.0013032845749066	-0.0002196710242102	1.698550683189477e-06	4.825535887755831e-08	-0.0053175320449725	-0.0003280069370275	2.827614704930942e-05	1.0758855073816259e-07	0.0001918758141955	-0.0004108379767662	3.6816328073186044e-08	1.687878431533447e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8730.500116949484	-571.561705654216	76221632.29205497	326682.78337035666	10620.378588957634	-1329.664522649562	1768007.7427928878	112792441.37278974	10492.091386129676	-228.2067215270636	52078.307750130734	110083981.65489654	10302.923694686337	0.648945	275.620728	1.2956402995489005	0.7570947754595028	0.1138323657095554	-0.0141569789562651	0.0129578074830339	0.0002004200531681	0.4538757955585311	0.159630679210295	0.0254819537451401	0.2060032377938895	0.89877861081834	-0.7197668798713297	0.807802991264545	0.5180643613597091	-0.0071657369166846	-0.005862452341778	5.134778555913653e-05	3.436834745961836e-05	-0.0038530885504439	0.0014644434945286	1.4846291377561873e-05	2.1445947486671394e-06	0.0009066952081091	0.0007148193939136	8.220962004080042e-07	5.109667659150066e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8270.445247360787	-460.0548695886973	68400264.58959264	211650.4830322733	9691.53128566362	-928.8473032940146	862757.3128365632	93925778.66099672	10082.177727986988	-409.9136581426883	168029.20713192073	101650307.73871686	9909.281436430005	0.627864	266.667328	0.7517673601470354	0.4812198220770576	0.0824372960684911	-0.0313950696410643	0.006795907783084	0.0009856503977672	0.4621110057514954	0.0082352101929643	6.781868692230317e-05	0.2135465816366586	0.4401620554984333	-0.4586165553199067	0.1937426351006058	0.210329144813497	-0.0090497767274898	-0.0018840398108051	8.1898458817416e-05	3.549606008698892e-06	-0.0047261055519771	-0.0008730170015332	2.233607368842877e-05	7.621586849660194e-07	0.0032200488956327	0.0023133536875236	1.0368714890265373e-05	5.351605283579037e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7811.482389436487	-458.9628579242999	61019257.12047637	210646.9049540411	8867.569822768502	-823.9614628951167	678912.4923362607	78633794.56167461	9714.182863910106	-367.9948640768816	135420.2199869626	94365348.71348476	9549.867843846288	0.62346	264.79657	1.3333033621295822	0.697019396051791	-0.0608881113631412	-0.1433254074316323	0.0037073621053702	0.0205421724154434	0.2775408722166617	-0.1845701335348337	0.0340661341930663	0.0770289357507853	-0.1503696857694478	-0.5905317412678811	0.0226110423984024	0.3487277374448757	-0.0035328281149716	0.0055169486125182	1.2480874489933787e-05	3.0436721993166494e-05	-0.005968413164398	-0.0012423076124209	3.5621955700959346e-05	1.5433282038789176e-06	0.0016817835226671	-0.0015382653729656	2.82839581711456e-06	2.3662603576649964e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7440.637993748961	-370.84439568752623	55363093.75402056	137525.56581284653	8244.191622056216	-623.3782007122863	388600.3811232876	67966695.5011819	9341.716099912328	-372.4667639977779	138731.49028297636	87267659.69136119	9192.780800204691	0.621535	263.979279	0.5270469176224766	0.2549124102083086	-0.1081892359206335	-0.0473011245574922	0.0117049107690904	0.0022373963844034	0.1852498835341407	-0.0922909886825209	0.0085176265919972	0.0343175193494127	-0.2769456197120661	-0.1265759339426183	0.0766988762777003	0.016021467053446	-0.0028182782873252	0.0007145498276463	7.942692504808662e-06	5.105814561894997e-07	-0.0047217747778409	0.0012466383865571	2.229515705265448e-05	1.5541072668376895e-06	-0.0015746056719263	-0.0032563891945933	2.4793830220624746e-06	1.060407058666465e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7110.108609251607	-330.529384497354	50553644.43535382	109249.67401619964	7719.5069295798385	-524.6846924763777	275294.02651903103	59590787.23583115	8938.425335447115	-403.2907644652132	162643.4407029361	79895447.47736287	8797.743465767413	0.651629	276.760895	0.3525822316625007	0.2602406372057152	-0.1078738839184723	0.0003153520021611	0.011636774831656	9.944688526707293e-08	0.1925099810812867	0.0072600975471459	5.27090163940752e-05	0.0370600928159173	-0.2670752828868075	0.0098703368252586	0.0713292067290682	9.74235490440564e-05	-0.0071126543399698	-0.0042943760526445	5.058985175989124e-05	1.8441665681527413e-05	-0.0028606464814078	0.0018611282964331	8.183298291590827e-06	3.4637985357839727e-06	-0.0021218302286073	-0.000547224556681	4.502163519031707e-06	2.994547154347172e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6809.559226756399	-300.5493824952082	46370096.8627032	90329.93131825096	7318.772353322883	-400.7345762569557	160588.20060784186	53564428.75976337	8499.07155663221	-439.3537788149042	193031.74295893576	72234217.32475467	8377.48865312225	0.673696	286.132996	0.6221491041354099	0.3701669578534852	-0.099919080929709	0.0079548029887633	0.0099838227338377	6.32788905900376e-05	0.2320211492748285	0.0395111681935418	0.0015611324120183	0.0538338137108122	-0.5750234884798573	-0.3079482055930498	0.3306520123035446	0.0948320973279792	-0.0056759923396469	0.0014366620003228	3.2216889039730294e-05	2.0639977031717955e-06	-0.0013258913466578	0.00153475513475	1.757987863142034e-06	2.3554733236414907e-06	0.0002414511835209	0.0023632814121282	5.8298674023643337e-08	5.58509903291066e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6541.1212775228105	-268.4379492335884	42786267.56726164	72058.93258873456	6978.936256685486	-339.8360966373966	115488.57257774196	48705551.274879225	8103.684456093321	-395.3871005388892	156330.95927254966	65669701.76392851	7984.826664143862	0.6801	288.852844	0.7606152401149712	0.4579330928505252	-0.028490983330613	0.0714280975990959	0.0008117361311452	0.0051019731266259	0.3046356370820433	0.0726144878072147	0.0052728638395041	0.0928028713803823	-1.0178405348411277	-0.4428170463612704	1.035999354365673	0.1960869365481194	-0.007080326247155	-0.001404333907508	5.0131019766152e-05	1.972153723776968e-06	-0.0006403612852503	0.0006855300614074	4.100625756474161e-07	4.699514650933706e-07	0.0016266993815531	0.0013852481980322	2.646150877945238e-06	1.918912570151457e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6341.898792150959	-199.2224853718517	40219680.28988579	39689.59867773766	6710.629020819569	-268.3072358659174	71988.77281800903	45032541.8550658	7722.677242995373	-381.0072130979488	145166.49643266576	59639743.799478605	7611.056242513167	0.688362	292.362091	1.2011160427678624	0.8057343093478345	-0.079427951559154	-0.050936968228541	0.0063087994888833	0.0025945747323153	0.2422039033489511	-0.0624317337330921	0.0038977213769197	0.058662730797468	-1.763128247127682	-0.7452877122865542	3.1086212158195323	0.5554537740853256	-0.0031956781415856	0.0038846481055694	1.0212358784607994e-05	1.509049090410393e-05	-0.000148885010647	0.0004914762746033	2.21667463953573e-08	2.4154892849793845e-07	-0.0008463688086677	-0.0024730681902208	7.163401602855817e-07	6.116066273481984e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6142.726496944824	-199.17229520613452	37733088.816268034	39669.60317767961	6381.481580778112	-329.1474400414563	108338.03728584408	40723307.16581032	7397.981568539923	-324.69567445545	105427.28101007956	54730131.28845641	7298.347773171172	0.7377209999999998	313.325653	0.4196087446394528	0.2410973762206691	-0.0557011949449588	0.0237267566141951	0.0031026231182963	0.0005629589794292	0.277887093652879	0.0356831903039279	0.0012732900702663	0.0772212368188439	-1.6088386953704372	0.1542895517572446	2.5883619477212503	0.0238052657814514	-0.0062274132224245	-0.0030317350808389	3.878067544282749e-05	9.191417600389252e-06	-0.0006657741679425	-0.0005168891572955	4.432552426995282e-07	2.671744009296522e-07	-0.0002768081275204	0.0005695606811473	7.662273946135005e-08	3.243993695089764e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
