onset	duration	trial_type	value	sample
540.3908333333334	0.0	response_correct_rejection	7	648469
542.0283333333333	0.0	encode6	2	650434
547.0475	0.0	probe_not_in_set	6	656457
547.0475	0.0	probe6	4	656457
547.5975	0.0	response_r	11	657117
547.5975	0.0	response_correct_rejection	7	657117
549.5316666666666	0.0	encode6	2	659438
554.5666666666667	0.0	probe_not_in_set	6	665480
554.5666666666667	0.0	probe6	4	665480
555.3841666666667	0.0	response_r	11	666461
555.3841666666667	0.0	response_correct_rejection	7	666461
557.0341666666667	0.0	encode6	2	668441
562.0533333333333	0.0	probe_in_set	5	674464
562.0533333333333	0.0	probe6	4	674464
562.6875	0.0	response_hit	8	675225
562.6875	0.0	response_l	9	675225
564.5375	0.0	encode6	2	677445
569.5558333333333	0.0	probe_in_set	5	683467
569.5558333333333	0.0	probe6	4	683467
569.5558333333333	0.0	response_miss	10	683467
570.3375	0.0	response_r	11	684405
572.0233333333333	0.0	encode6	2	686428
577.0425	0.0	probe_not_in_set	6	692451
577.0425	0.0	probe6	4	692451
577.7133333333334	0.0	response_r	11	693256
577.7133333333334	0.0	response_correct_rejection	7	693256
579.5266666666666	0.0	encode6	2	695432
584.545	0.0	probe_not_in_set	6	701454
584.545	0.0	probe6	4	701454
585.2158333333333	0.0	response_r	11	702259
585.2158333333333	0.0	response_correct_rejection	7	702259
587.03	0.0	encode6	2	704436
592.065	0.0	probe_in_set	5	710478
592.065	0.0	probe6	4	710478
593.255	0.0	response_r	11	711906
594.0366666666666	0.0	response_hit	8	712844
594.0366666666666	0.0	response_l	9	712844
594.5325	0.0	encode6	2	713439
599.5341666666667	0.0	probe_in_set	5	719441
599.5341666666667	0.0	probe6	4	719441
600.2708333333334	0.0	response_hit	8	720325
600.2708333333334	0.0	response_l	9	720325
