name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
MLP34-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP35-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP41-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP42-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP43-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP44-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP45-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP51-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP52-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP53-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP54-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP55-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP56-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP57-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT11-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT12-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT13-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT14-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT15-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT16-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT21-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT22-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT23-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT24-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT25-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT26-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT27-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT31-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT32-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT33-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT34-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT35-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT36-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT37-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT41-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT42-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT43-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT44-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT45-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT46-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT47-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT51-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT52-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT53-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT54-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT55-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT56-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLT57-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC11-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC12-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC13-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC14-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC15-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC16-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC17-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC21-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC22-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC23-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC24-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC25-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC31-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC32-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC41-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC42-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC51-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC52-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC53-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC54-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC55-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC61-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC62-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRC63-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF11-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF12-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF13-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF14-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF21-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF22-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF23-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF24-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF25-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF31-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF32-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF33-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF34-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF35-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF41-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF42-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF44-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF45-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF46-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF51-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF52-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF53-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF54-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF55-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF56-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF61-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF62-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF63-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF64-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF65-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF66-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRF67-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO11-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO12-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO14-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO21-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO22-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO23-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO24-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO31-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO32-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO33-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO34-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO41-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO42-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO43-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO44-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO51-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO52-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRO53-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP11-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP12-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP21-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP22-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP23-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP31-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP32-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP33-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP34-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP35-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP41-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP42-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP43-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP44-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP45-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP51-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP52-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP53-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP54-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MRP55-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
