name	type	units	description
MRC54	MEGGRADAXIAL	T	primary gradiometer
MRC55	MEGGRADAXIAL	T	primary gradiometer
MRC61	MEGGRADAXIAL	T	primary gradiometer
MRC62	MEGGRADAXIAL	T	primary gradiometer
MRC63	MEGGRADAXIAL	T	primary gradiometer
MRF11	MEGGRADAXIAL	T	primary gradiometer
MRF12	MEGGRADAXIAL	T	primary gradiometer
MRF13	MEGGRADAXIAL	T	primary gradiometer
MRF14	MEGGRADAXIAL	T	primary gradiometer
MRF21	MEGGRADAXIAL	T	primary gradiometer
MRF22	MEGGRADAXIAL	T	primary gradiometer
MRF23	MEGGRADAXIAL	T	primary gradiometer
MRF24	MEGGRADAXIAL	T	primary gradiometer
MRF25	MEGGRADAXIAL	T	primary gradiometer
MRF31	MEGGRADAXIAL	T	primary gradiometer
MRF32	MEGGRADAXIAL	T	primary gradiometer
MRF33	MEGGRADAXIAL	T	primary gradiometer
MRF34	MEGGRADAXIAL	T	primary gradiometer
MRF35	MEGGRADAXIAL	T	primary gradiometer
MRF41	MEGGRADAXIAL	T	primary gradiometer
MRF42	MEGGRADAXIAL	T	primary gradiometer
MRF44	MEGGRADAXIAL	T	primary gradiometer
MRF45	MEGGRADAXIAL	T	primary gradiometer
MRF46	MEGGRADAXIAL	T	primary gradiometer
MRF51	MEGGRADAXIAL	T	primary gradiometer
MRF52	MEGGRADAXIAL	T	primary gradiometer
MRF53	MEGGRADAXIAL	T	primary gradiometer
MRF54	MEGGRADAXIAL	T	primary gradiometer
MRF55	MEGGRADAXIAL	T	primary gradiometer
MRF56	MEGGRADAXIAL	T	primary gradiometer
MRF61	MEGGRADAXIAL	T	primary gradiometer
MRF62	MEGGRADAXIAL	T	primary gradiometer
MRF63	MEGGRADAXIAL	T	primary gradiometer
MRF64	MEGGRADAXIAL	T	primary gradiometer
MRF65	MEGGRADAXIAL	T	primary gradiometer
MRF66	MEGGRADAXIAL	T	primary gradiometer
MRF67	MEGGRADAXIAL	T	primary gradiometer
MRO11	MEGGRADAXIAL	T	primary gradiometer
MRO12	MEGGRADAXIAL	T	primary gradiometer
MRO14	MEGGRADAXIAL	T	primary gradiometer
MRO21	MEGGRADAXIAL	T	primary gradiometer
MRO22	MEGGRADAXIAL	T	primary gradiometer
MRO23	MEGGRADAXIAL	T	primary gradiometer
MRO24	MEGGRADAXIAL	T	primary gradiometer
MRO31	MEGGRADAXIAL	T	primary gradiometer
MRO32	MEGGRADAXIAL	T	primary gradiometer
MRO33	MEGGRADAXIAL	T	primary gradiometer
MRO34	MEGGRADAXIAL	T	primary gradiometer
MRO41	MEGGRADAXIAL	T	primary gradiometer
MRO42	MEGGRADAXIAL	T	primary gradiometer
MRO43	MEGGRADAXIAL	T	primary gradiometer
MRO44	MEGGRADAXIAL	T	primary gradiometer
MRO51	MEGGRADAXIAL	T	primary gradiometer
MRO52	MEGGRADAXIAL	T	primary gradiometer
MRO53	MEGGRADAXIAL	T	primary gradiometer
MRP11	MEGGRADAXIAL	T	primary gradiometer
MRP12	MEGGRADAXIAL	T	primary gradiometer
MRP21	MEGGRADAXIAL	T	primary gradiometer
MRP22	MEGGRADAXIAL	T	primary gradiometer
MRP23	MEGGRADAXIAL	T	primary gradiometer
MRP31	MEGGRADAXIAL	T	primary gradiometer
MRP32	MEGGRADAXIAL	T	primary gradiometer
MRP33	MEGGRADAXIAL	T	primary gradiometer
MRP34	MEGGRADAXIAL	T	primary gradiometer
MRP35	MEGGRADAXIAL	T	primary gradiometer
MRP41	MEGGRADAXIAL	T	primary gradiometer
MRP42	MEGGRADAXIAL	T	primary gradiometer
MRP43	MEGGRADAXIAL	T	primary gradiometer
MRP44	MEGGRADAXIAL	T	primary gradiometer
MRP45	MEGGRADAXIAL	T	primary gradiometer
MRP51	MEGGRADAXIAL	T	primary gradiometer
MRP52	MEGGRADAXIAL	T	primary gradiometer
MRP53	MEGGRADAXIAL	T	primary gradiometer
MRP54	MEGGRADAXIAL	T	primary gradiometer
MRP55	MEGGRADAXIAL	T	primary gradiometer
MRP56	MEGGRADAXIAL	T	primary gradiometer
MRP57	MEGGRADAXIAL	T	primary gradiometer
MRT11	MEGGRADAXIAL	T	primary gradiometer
MRT12	MEGGRADAXIAL	T	primary gradiometer
MRT13	MEGGRADAXIAL	T	primary gradiometer
MRT14	MEGGRADAXIAL	T	primary gradiometer
MRT15	MEGGRADAXIAL	T	primary gradiometer
MRT16	MEGGRADAXIAL	T	primary gradiometer
MRT21	MEGGRADAXIAL	T	primary gradiometer
MRT22	MEGGRADAXIAL	T	primary gradiometer
MRT23	MEGGRADAXIAL	T	primary gradiometer
MRT24	MEGGRADAXIAL	T	primary gradiometer
MRT25	MEGGRADAXIAL	T	primary gradiometer
MRT26	MEGGRADAXIAL	T	primary gradiometer
MRT27	MEGGRADAXIAL	T	primary gradiometer
MRT31	MEGGRADAXIAL	T	primary gradiometer
MRT32	MEGGRADAXIAL	T	primary gradiometer
MRT33	MEGGRADAXIAL	T	primary gradiometer
MRT34	MEGGRADAXIAL	T	primary gradiometer
MRT35	MEGGRADAXIAL	T	primary gradiometer
MRT36	MEGGRADAXIAL	T	primary gradiometer
MRT37	MEGGRADAXIAL	T	primary gradiometer
MRT41	MEGGRADAXIAL	T	primary gradiometer
MRT42	MEGGRADAXIAL	T	primary gradiometer
MRT43	MEGGRADAXIAL	T	primary gradiometer
MRT44	MEGGRADAXIAL	T	primary gradiometer
MRT45	MEGGRADAXIAL	T	primary gradiometer
MRT46	MEGGRADAXIAL	T	primary gradiometer
MRT47	MEGGRADAXIAL	T	primary gradiometer
MRT51	MEGGRADAXIAL	T	primary gradiometer
MRT52	MEGGRADAXIAL	T	primary gradiometer
MRT53	MEGGRADAXIAL	T	primary gradiometer
MRT54	MEGGRADAXIAL	T	primary gradiometer
MRT55	MEGGRADAXIAL	T	primary gradiometer
MRT56	MEGGRADAXIAL	T	primary gradiometer
MRT57	MEGGRADAXIAL	T	primary gradiometer
MZC01	MEGGRADAXIAL	T	primary gradiometer
MZC02	MEGGRADAXIAL	T	primary gradiometer
MZC03	MEGGRADAXIAL	T	primary gradiometer
MZC04	MEGGRADAXIAL	T	primary gradiometer
MZF01	MEGGRADAXIAL	T	primary gradiometer
MZF02	MEGGRADAXIAL	T	primary gradiometer
MZF03	MEGGRADAXIAL	T	primary gradiometer
MZO01	MEGGRADAXIAL	T	primary gradiometer
MZO02	MEGGRADAXIAL	T	primary gradiometer
MZO03	MEGGRADAXIAL	T	primary gradiometer
MZP01	MEGGRADAXIAL	T	primary gradiometer
UPPT001	TRIG	bit	parallel port
