name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	description	status	group
TG30	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
TG31	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
TG32	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
LSF1	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	good	2.0
LSF2	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-medial	good	2.0
LSF3	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-medial	good	2.0
LSF4	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-medial	good	2.0
LSF5	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-superior	good	2.0
LSF6	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-superior	good	2.0
LSF7	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	good	2.0
LSF8	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-medial	good	2.0
LSF9	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-medial	good	2.0
LSF10	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-medial	good	2.0
LSF11	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-superior	good	2.0
LSF12	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-superior	good	2.0
