name	type	units	description	sampling_frequency	high_cutoff	low_cutoff	notch	software_filters	status
MEG2411	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2423	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2422	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2421	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2433	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2432	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2431	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2442	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2443	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2441	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2512	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2513	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2511	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2522	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2523	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2521	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2533	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2532	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2531	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2543	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2542	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2541	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2612	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2613	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2611	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2623	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2622	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2621	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2633	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2632	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2631	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2642	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2643	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2641	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
EEG001	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG002	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG003	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG004	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG005	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG006	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
