name	x	y	z	size	hemisphere	seizure_zone	Destrieux_label	Destrieux_label_text
RB7	49.98414368	16.46836866	-71.72926338	n/a	R	n/a	41	Right_Cerebral_White_Matter
RB8	53.4633316	16.1652289	-71.85602382	n/a	R	n/a	41	Right_Cerebral_White_Matter
RB9	56.95399796	15.85221447	-71.98440508	n/a	R	n/a	41	Right_Cerebral_White_Matter
RB10	60.43303062	15.53864938	-72.10297591	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RB11	63.92419372	15.23493065	-72.23024635	n/a	R	SOZ	12173	rh_S_temporal_inf
RB12	67.40288491	14.92249519	-72.35811761	n/a	R	SOZ	12173	rh_S_temporal_inf
RB13	70.89438948	14.61764683	-72.47608762	n/a	R	SOZ	12138	rh_G_temporal_middle
RB14	74.37308067	14.30521137	-72.60395888	n/a	R	SOZ	12138	rh_G_temporal_middle
RC1	34.77821691	11.25472937	-70.19768203	n/a	R	IrritativeZone	12123	rh_G_oc-temp_med-Parahip
RC2	37.87350338	9.570513064	-70.14733663	n/a	R	SOZ	12123	rh_G_oc-temp_med-Parahip
RC3	40.9802683	7.876422088	-70.09861205	n/a	R	SOZ	12162	rh_S_oc-temp_med&Lingual
RC4	44.07521329	6.193335413	-70.05756708	n/a	R	SOZ	12162	rh_S_oc-temp_med&Lingual
RC5	47.18247494	4.508540134	-70.00773168	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RC6	50.27776141	2.824323829	-69.95738627	n/a	R	n/a	12161	rh_S_oc-temp_lat
RC7	53.37255114	1.130811827	-69.90815169	n/a	R	n/a	12161	rh_S_oc-temp_lat
RC8	56.47947132	-0.552853821	-69.86761672	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RC9	59.57475779	-2.237070126	-69.81727132	n/a	R	SOZ	12173	rh_S_temporal_inf
RC10	62.68201943	-3.921865405	-69.76743592	n/a	R	SOZ	12173	rh_S_temporal_inf
RC11	65.77680917	-5.615377407	-69.71820133	n/a	R	SOZ	12138	rh_G_temporal_middle
RC12	68.88372934	-7.299043056	-69.67766637	n/a	R	SOZ	12138	rh_G_temporal_middle
RC13	71.97901581	-8.983259361	-69.62732096	n/a	R	SOZ	12138	rh_G_temporal_middle
RP1	45.06726431	11.6358718	-55.20097957	n/a	R	n/a	41	Right_Cerebral_White_Matter
RP2	44.44552821	12.92440058	-51.78023773	n/a	R	n/a	12149	rh_S_circular_insula_inf
RP3	43.82379211	14.21292937	-48.3594959	n/a	R	n/a	12149	rh_S_circular_insula_inf
RP4	43.20205601	15.50145816	-44.93875406	n/a	R	n/a	41	Right_Cerebral_White_Matter
RP5	42.56884147	16.79986163	-41.51639141	n/a	R	n/a	12117	rh_G_Ins_lg&S_cent_ins
RP6	41.94710537	18.08839042	-38.09564957	n/a	R	n/a	12150	rh_S_circular_insula_sup
RP7	41.32536927	19.37691921	-34.67490774	n/a	R	n/a	41	Right_Cerebral_White_Matter
RP8	40.70363317	20.665448	-31.2541659	n/a	R	n/a	41	Right_Cerebral_White_Matter
RP9	34.54568954	30.17883593	-5.0942202	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RP10	33.8164795	31.43403776	-1.90038441	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RP11	33.08761093	32.68810996	1.302751812	n/a	R	SOZ	12155	rh_S_front_sup
RP12	32.35840089	33.94331178	4.496587602	n/a	R	SOZ	12155	rh_S_front_sup
RP13	31.62919085	35.19851361	7.690423393	n/a	R	SOZ	12155	rh_S_front_sup
RP14	30.89998081	36.45371543	10.88425918	n/a	R	SOZ	12116	rh_G_front_sup
RP15	30.17111224	37.70778763	14.0873954	n/a	R	SOZ	12116	rh_G_front_sup
RP16	29.4419022	38.96298946	17.28123119	n/a	R	n/a	0	n/a
RAO1	36.62100023	-24.23345519	-48.75786235	n/a	R	n/a	43	Right_Lateral_Ventricle
RAO2	39.85407563	-25.83792464	-49.51560487	n/a	R	n/a	41	Right_Cerebral_White_Matter
RAO3	43.07517586	-27.44181511	-50.27283738	n/a	R	IrritativeZone	41	Right_Cerebral_White_Matter
RAO4	46.30825126	-29.04628456	-51.0305799	n/a	R	IrritativeZone	41	Right_Cerebral_White_Matter
RAO5	49.52919623	-30.66060036	-51.7796228	n/a	R	IrritativeZone, EarlyPropagationZone	41	Right_Cerebral_White_Matter
RAO6	52.75029646	-32.26449084	-52.53685531	n/a	R	IrritativeZone, EarlyPropagationZone	12174	rh_S_temporal_sup
RAO7	55.98337186	-33.86896029	-53.29459783	n/a	R	IrritativeZone, EarlyPropagationZone	12174	rh_S_temporal_sup
RAO8	59.20447209	-35.47285076	-54.05183034	n/a	R	IrritativeZone, EarlyPropagationZone	12174	rh_S_temporal_sup
RAO9	62.43754749	-37.07732021	-54.80957286	n/a	R	IrritativeZone	12138	rh_G_temporal_middle
RK1	42.66041078	-16.42126505	-41.74637132	n/a	R	n/a	41	Right_Cerebral_White_Matter
RK2	46.04855332	-17.15440649	-42.11102041	n/a	R	n/a	41	Right_Cerebral_White_Matter
RK3	49.4481743	-17.89742261	-42.47729032	n/a	R	n/a	41	Right_Cerebral_White_Matter
RK4	52.83631685	-18.63056406	-42.84193941	n/a	R	n/a	41	Right_Cerebral_White_Matter
RK5	56.22445939	-19.36370551	-43.2065885	n/a	R	EarlyPropagationZone	41	Right_Cerebral_White_Matter
RK6	59.62457711	-20.09742594	-43.57174759	n/a	R	IrritativeZone, EarlyPropagationZone	12136	rh_G_temp_sup-Plan_tempo
RK7	63.01222291	-20.83986308	-43.9375075	n/a	R	IrritativeZone, EarlyPropagationZone	12136	rh_G_temp_sup-Plan_tempo
RK8	66.41234063	-21.57358351	-44.30266659	n/a	R	SOZ	12136	rh_G_temp_sup-Plan_tempo
RK9	69.80048318	-22.30672496	-44.66731568	n/a	R	SOZ	12136	rh_G_temp_sup-Plan_tempo
RV1	47.88699783	40.00876037	-58.18995425	n/a	R	n/a	12117	rh_G_Ins_lg&S_cent_ins
RV2	47.01106428	38.41295972	-55.20471167	n/a	R	n/a	12117	rh_G_Ins_lg&S_cent_ins
RV3	46.1462677	36.80841403	-52.23039034	n/a	R	n/a	12117	rh_G_Ins_lg&S_cent_ins
RV4	45.27033416	35.21261339	-49.24514776	n/a	R	n/a	12118	rh_G_insular_short
RV5	44.39390388	33.60751704	-46.261016	n/a	R	n/a	51	Right_Putamen
RV6	43.51797033	32.0117164	-43.27577342	n/a	R	n/a	12150	rh_S_circular_insula_sup
RV7	42.65317376	30.40717071	-40.30145209	n/a	R	n/a	12150	rh_S_circular_insula_sup
RV8	41.77724021	28.81137007	-37.31620951	n/a	R	n/a	41	Right_Cerebral_White_Matter
RV9	34.99052431	15.97208836	-12.68576154	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RV10	34.14675909	14.14632322	-9.531177894	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RV11	33.30333534	12.31942845	-6.367293817	n/a	R	SOZ	12155	rh_S_front_sup
RV12	32.45957012	10.49366332	-3.212710171	n/a	R	SOZ	12170	rh_S_precentral-sup-part
RV13	31.6041712	8.66734752	-0.048316091	n/a	R	SOZ	12155	rh_S_front_sup
RV14	30.76040598	6.84158238	3.106267555	n/a	R	SOZ	12155	rh_S_front_sup
RV15	29.91698223	5.01468761	6.270151632	n/a	R	n/a	41	Right_Cerebral_White_Matter
RV16	29.07321701	3.18892247	9.424735278	n/a	R	n/a	41	Right_Cerebral_White_Matter
ROC1	1.940698889	-42.94578967	-61.40940506	n/a	R	IrritativeZone	12122	rh_G_oc-temp_med-Lingual
ROC2	4.722371173	-43.01039186	-63.22041468	n/a	R	IrritativeZone, EarlyPropagationZone	12122	rh_G_oc-temp_med-Lingual
ROC3	7.91360984	-44.04512283	-65.3249467	n/a	R	IrritativeZone, EarlyPropagationZone	12122	rh_G_oc-temp_med-Lingual
ROC4	11.55462438	-45.93762296	-66.62406033	n/a	R	IrritativeZone, EarlyPropagationZone	12122	rh_G_oc-temp_med-Lingual
ROC5	14.46165847	-46.17649845	-67.2701181	n/a	R	EarlyPropagationZone	41	Right_Cerebral_White_Matter
ROC6	17.87762838	-47.87231251	-67.58261199	n/a	R	EarlyPropagationZone	41	Right_Cerebral_White_Matter
ROC7	21.20412576	-48.55295037	-68.04257254	n/a	R	IrritativeZone, EarlyPropagationZone	12152	rh_S_collat_transv_post
ROC8	24.57522707	-48.75140326	-68.28495164	n/a	R	IrritativeZone, EarlyPropagationZone	12152	rh_S_collat_transv_post
ROC9	28.08401164	-50.06682435	-68.2616954	n/a	R	IrritativeZone, EarlyPropagationZone	12152	rh_S_collat_transv_post
ROC10	31.42162045	-51.27647233	-67.86020048	n/a	R	SOZ	41	Right_Cerebral_White_Matter
ROC11	34.47188053	-52.21459364	-68.01998675	n/a	R	SOZ	12102	rh_G&S_occipital_inf
ROC12	38.08036624	-52.55360281	-68.45825673	n/a	R	EarlyPropagationZone	12102	rh_G&S_occipital_inf
ROC13	41.57473763	-54.1979875	-68.68233103	n/a	R	EarlyPropagationZone	12102	rh_G&S_occipital_inf
ROC14	45.05199314	-54.52133225	-69.11388017	n/a	R	EarlyPropagationZone	12102	rh_G&S_occipital_inf
RQ1	5.652836682	-31.60736473	-30.88244732	n/a	R	n/a	12130	rh_G_precuneus
RQ2	9.027676979	-32.29800058	-31.04299164	n/a	R	n/a	12130	rh_G_precuneus
RQ3	12.39103883	-32.97876176	-31.20191513	n/a	R	n/a	12172	rh_S_subparietal
RQ4	15.76587913	-33.66939762	-31.36245945	n/a	R	n/a	12172	rh_S_subparietal
RQ5	19.14087469	-34.34960814	-31.53119337	n/a	R	n/a	41	Right_Cerebral_White_Matter
RQ6	22.51571498	-35.040244	-31.69173769	n/a	R	n/a	41	Right_Cerebral_White_Matter
RQ7	25.8785801	-35.73030088	-31.851772	n/a	R	n/a	41	Right_Cerebral_White_Matter
RQ8	29.25391714	-36.41164103	-32.0112055	n/a	R	n/a	41	Right_Cerebral_White_Matter
RQ9	32.62875743	-37.10227688	-32.17174981	n/a	R	n/a	41	Right_Cerebral_White_Matter
RQ10	36.00409446	-37.78361704	-32.33118331	n/a	R	n/a	41	Right_Cerebral_White_Matter
RQ11	39.36695958	-38.47367392	-32.49121762	n/a	R	n/a	41	Right_Cerebral_White_Matter
RQ12	42.74179988	-39.16430977	-32.65176193	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RQ13	46.11679544	-39.8445203	-32.82049586	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RQ14	49.49163573	-40.53515615	-32.98104017	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RQ15	52.85499759	-41.21591733	-33.13996367	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RQ16	56.22983788	-41.90655319	-33.30050798	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RZ1	7.623068741	-21.44633743	-38.22578413	n/a	R	n/a	12109	rh_G_cingul-Post-dorsal
RZ2	11.50098342	-21.92873914	-37.82194696	n/a	R	n/a	12167	rh_S_pericallosal
RZ3	15.39121475	-22.41284945	-37.40931937	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ4	19.26912943	-22.89525117	-37.0054822	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ5	23.15852256	-23.38752755	-36.60326585	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ6	27.03643724	-23.86992926	-36.19942868	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ7	30.91469339	-24.3534606	-35.78629108	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ8	34.80458325	-24.83644129	-35.38296391	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ9	38.68249793	-25.318843	-34.97912674	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ10	42.57238779	-25.80182369	-34.57579958	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ11	46.45064394	-26.28535503	-34.16266198	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RZ12	50.32855862	-26.76775674	-33.75882481	n/a	R	SOZ	12174	rh_S_temporal_sup
RZ13	54.21795175	-27.26003313	-33.35660846	n/a	R	SOZ	12174	rh_S_temporal_sup
RZ14	58.09586643	-27.74243484	-32.95277129	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RZ15	61.98609776	-28.22654516	-32.54014369	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RZ16	65.86401244	-28.70894687	-32.13630652	n/a	R	SOZ	12156	rh_S_interm_prim-Jensen
RY1	9.254655677	12.99184291	-18.9636505	n/a	R	n/a	12108	rh_G&S_cingul-Mid-Post
RY2	13.19611514	13.25122782	-18.62419684	n/a	R	n/a	12167	rh_S_pericallosal
RY3	17.1376602	13.5107199	-18.28567832	n/a	R	n/a	41	Right_Cerebral_White_Matter
RY4	21.07911967	13.77010481	-17.94622465	n/a	R	n/a	41	Right_Cerebral_White_Matter
RY5	25.02057913	14.02948972	-17.60677099	n/a	R	n/a	41	Right_Cerebral_White_Matter
RY6	28.96212419	14.28898181	-17.26825247	n/a	R	n/a	41	Right_Cerebral_White_Matter
RY7	32.90358365	14.54836672	-16.9287988	n/a	R	n/a	41	Right_Cerebral_White_Matter
RY8	36.84468386	14.807769	-16.58932984	n/a	R	n/a	41	Right_Cerebral_White_Matter
RY9	40.78694744	15.06722635	-16.25084192	n/a	R	n/a	41	Right_Cerebral_White_Matter
RY10	44.72804764	15.32662863	-15.91137295	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RY11	48.66914785	15.58603091	-15.57190399	n/a	R	SOZ	12169	rh_S_precentral-inf-part
RY12	52.61141142	15.84548825	-15.23341607	n/a	R	SOZ	12169	rh_S_precentral-inf-part
RY13	56.55251163	16.10489053	-14.8939471	n/a	R	n/a	12169	rh_S_precentral-inf-part
RY14	60.49361184	16.36429281	-14.55447814	n/a	R	n/a	12169	rh_S_precentral-inf-part
RY15	64.43587541	16.62375016	-14.21599021	n/a	R	n/a	41	Right_Cerebral_White_Matter
RY16	68.37697562	16.88315244	-13.87652125	n/a	R	n/a	12129	rh_G_precentral
